margin_bin,margin_lo_cm,margin_hi_cm,metric,metric_label,stage,source_histories,source_fraction,fluka_sum_w,megalib_sum_w,fluka_conditional_efficiency,megalib_conditional_efficiency,fluka_over_megalib_conditional,difference_per_parent,difference_share_of_total,z_difference
5e-2_1e-1_cm,0.05,0.1,e480_550,480-550 keV,raw,225167,0.225167,423.0,333.0,0.0018786056571344825,0.0014789023258292733,1.2702702702702704,9e-05,0.22613065326633167,3.2732683535398857
1e-1_5e-1_cm,0.1,0.5,e480_550,480-550 keV,raw,487576,0.487576,496.0,307.0,0.0010172773065122156,0.000629645429635585,1.6156351791530945,0.000189,0.4748743718592965,6.669665162123533
ge_5e-1_cm,0.5,,e480_550,480-550 keV,raw,8667,0.008667,7.0,3.0,0.0008076612437983154,0.00034614053305642093,2.333333333333333,4e-06,0.010050251256281405,1.2649110640673515
lt_1e-4_cm,0.0,0.0001,w2_510p58_511p42,W2 510.58-511.42 keV,active_veto,298,0.000298,3.0,2.0,0.010067114093959731,0.006711409395973154,1.5,1e-06,0.010101010101010102,0.44721359549995787
1e-4_1e-3_cm,0.0001,0.001,w2_510p58_511p42,W2 510.58-511.42 keV,active_veto,3627,0.003627,0.0,1.0,0.0,0.00027570995312930797,0.0,-1e-06,-0.010101010101010102,-1.0
1e-3_1e-2_cm,0.001,0.01,w2_510p58_511p42,W2 510.58-511.42 keV,active_veto,56235,0.056235,38.0,19.0,0.0006757357517560239,0.00033786787587801193,2.0,1.9e-05,0.19191919191919193,2.5166114784235836
1e-2_5e-2_cm,0.01,0.05,w2_510p58_511p42,W2 510.58-511.42 keV,active_veto,218430,0.21843,167.0,167.0,0.0007645469944604679,0.0007645469944604679,1.0,0.0,0.0,0.0
5e-2_1e-1_cm,0.05,0.1,w2_510p58_511p42,W2 510.58-511.42 keV,active_veto,225167,0.225167,190.0,157.0,0.0008438181438665523,0.000697260255721309,1.2101910828025477,3.3e-05,0.33333333333333337,1.7715328194135629
1e-1_5e-1_cm,0.1,0.5,w2_510p58_511p42,W2 510.58-511.42 keV,active_veto,487576,0.487576,259.0,216.0,0.00053119923868279,0.0004430078592875777,1.1990740740740742,4.3e-05,0.43434343434343436,1.9729753112868311
ge_5e-1_cm,0.5,,w2_510p58_511p42,W2 510.58-511.42 keV,active_veto,8667,0.008667,5.0,1.0,0.0005769008884273682,0.00011538017768547363,5.000000000000001,4e-06,0.04040404040404041,1.632993161855452
lt_1e-4_cm,0.0,0.0001,w2_510p58_511p42,W2 510.58-511.42 keV,raw,298,0.000298,5.0,2.0,0.016778523489932886,0.006711409395973154,2.5,3e-06,0.011494252873563218,1.1338934190276817
1e-4_1e-3_cm,0.0001,0.001,w2_510p58_511p42,W2 510.58-511.42 keV,raw,3627,0.003627,0.0,2.0,0.0,0.0005514199062586159,0.0,-2e-06,-0.007662835249042145,-1.414213562373095
1e-3_1e-2_cm,0.001,0.01,w2_510p58_511p42,W2 510.58-511.42 keV,raw,56235,0.056235,89.0,56.0,0.00158264426069174,0.0009958211078509825,1.5892857142857142,3.3e-05,0.12643678160919541,2.7405008351734192
1e-2_5e-2_cm,0.01,0.05,w2_510p58_511p42,W2 510.58-511.42 keV,raw,218430,0.21843,377.0,351.0,0.0017259533946802179,0.0016069221260815822,1.074074074074074,2.6e-05,0.09961685823754789,0.9636241116594315
5e-2_1e-1_cm,0.05,0.1,w2_510p58_511p42,W2 510.58-511.42 keV,raw,225167,0.225167,370.0,316.0,0.0016432248064769705,0.001403402807693845,1.1708860759493671,5.4e-05,0.20689655172413793,2.061729580467274
1e-1_5e-1_cm,0.1,0.5,w2_510p58_511p42,W2 510.58-511.42 keV,raw,487576,0.487576,422.0,278.0,0.0008655060954599898,0.0005701675226016047,1.5179856115107913,0.000144,0.5517241379310345,5.442688411332872
ge_5e-1_cm,0.5,,w2_510p58_511p42,W2 510.58-511.42 keV,raw,8667,0.008667,6.0,3.0,0.0006922810661128419,0.00034614053305642093,2.0,3e-06,0.011494252873563218,1.0
