event_id,parent_Z,parent_A,parent_isomer,particle_code,kinetic_energy_keV,time_s,dir_x,dir_y,dir_z,x_cm,y_cm,z_cm,weight,track_generation,iprod,iaztrk
18,29,64,0,4,1.90310774E+02,2.24149132E+04,-3.42250798E-01,4.04929132E-01,8.47877815E-01,-3.42250798E-01,4.04929132E-01,8.47877815E-01,1.00000000E+00,2,2,29064
18,29,64,0,7,7.47800004E+00,2.24149132E+04,4.16298452E-01,8.95682848E-01,-1.56358036E-01,4.16298452E-01,8.95682848E-01,-1.56358036E-01,1.00000000E+00,2,2,29064
18,29,64,0,3,8.39999984E-01,2.24149132E+04,9.47024748E-01,3.20886256E-01,1.32717049E-02,9.47024748E-01,3.20886256E-01,1.32717049E-02,1.00000000E+00,2,2,29064
19,29,64,0,4,1.35378634E+02,1.36452362E+04,-2.08424177E-01,-2.17303858E-01,9.53592363E-01,-2.08424177E-01,-2.17303858E-01,9.53592363E-01,1.00000000E+00,2,2,29064
19,29,64,0,3,8.39999984E-01,1.36452362E+04,8.84474266E-01,2.21999714E-01,-4.10391764E-01,8.84474266E-01,2.21999714E-01,-4.10391764E-01,1.00000000E+00,2,2,29064
20,29,64,0,3,1.46392034E+02,3.38176973E+03,-6.32403372E-01,-2.92216659E-01,-7.17408809E-01,-6.32403372E-01,-2.92216659E-01,-7.17408809E-01,1.00000000E+00,2,2,29064
20,29,64,0,3,6.53999996E+00,3.38176973E+03,7.66116076E-01,-4.98522340E-01,-4.05637320E-01,7.66116076E-01,-4.98522340E-01,-4.05637320E-01,1.00000000E+00,2,2,29064
21,29,64,0,3,8.39999984E-01,5.13654732E+04,6.50777087E-01,-7.22590759E-01,2.33134677E-01,6.50777087E-01,-7.22590759E-01,2.33134677E-01,1.00000000E+00,2,2,29064
22,29,64,0,4,2.81021079E+01,1.05724379E+05,3.66769829E-01,4.89108653E-01,7.91361243E-01,3.66769829E-01,4.89108653E-01,7.91361243E-01,1.00000000E+00,2,2,29064
22,29,64,0,3,8.39999984E-01,1.05724379E+05,2.54334007E-01,6.82098922E-01,6.85605771E-01,2.54334007E-01,6.82098922E-01,6.85605771E-01,1.00000000E+00,2,2,29064
23,29,64,0,3,8.39999984E-01,1.23501780E+05,-1.97120946E-01,3.54366197E-01,-9.14094050E-01,-1.97120946E-01,3.54366197E-01,-9.14094050E-01,1.00000000E+00,2,2,29064
24,29,64,0,3,8.39999984E-01,5.19349279E+04,4.54203969E-01,-3.76023895E-01,8.07653877E-01,4.54203969E-01,-3.76023895E-01,8.07653877E-01,1.00000000E+00,2,2,29064
25,29,64,0,3,3.29985422E+02,4.29326184E+04,7.05694576E-01,5.22048197E-01,4.79020716E-01,7.05694576E-01,5.22048197E-01,4.79020716E-01,1.00000000E+00,2,2,29064
25,29,64,0,3,6.53999996E+00,4.29326184E+04,3.73475533E-01,4.23791236E-02,-9.26671482E-01,3.73475533E-01,4.23791236E-02,-9.26671482E-01,1.00000000E+00,2,2,29064
26,29,64,0,3,3.09291741E+01,1.47790708E+04,-1.25285681E-01,-7.25103734E-01,-6.77147009E-01,-1.25285681E-01,-7.25103734E-01,-6.77147009E-01,1.00000000E+00,2,2,29064
27,29,64,0,3,1.54150855E+02,9.97824273E+04,8.41328001E-01,-4.59814276E-01,-2.84144376E-01,8.41328001E-01,-4.59814276E-01,-2.84144376E-01,1.00000000E+00,2,2,29064
27,29,64,0,3,6.53999996E+00,9.97824273E+04,-5.89728066E-01,-4.48873679E-01,-6.71366687E-01,-5.89728066E-01,-4.48873679E-01,-6.71366687E-01,1.00000000E+00,2,2,29064
