nuclide,particle_code,particle,count,yield_per_parent,mean_kinetic_energy_keV
Cu-64,3,ELECTRON,23737,1.18685,64.27413326562029
Cu-64,4,POSITRON,3556,0.1778,281.6418132172663
Cu-64,7,PHOTON,3474,0.1737,43.580199943522636
Na-24,7,PHOTON,39969,1.99845,2060.8485812739054
Na-24,3,ELECTRON,19971,0.99855,558.6429572702293
Al-28,7,PHOTON,20000,1.0,1778.8499800001423
Al-28,3,ELECTRON,19998,0.9999,1244.089585947121
I-128,3,ELECTRON,19843,0.99215,755.5233822614405
I-128,7,PHOTON,4076,0.2038,338.8115536774456
