event_id,parent_Z,parent_A,parent_isomer,particle_code,kinetic_energy_keV,time_s,dir_x,dir_y,dir_z,x_cm,y_cm,z_cm,weight,track_generation,iprod,iaztrk
224,13,28,0,3,1.02330987E+03,1.69128143E+02,-3.71684635E-01,-2.44753821E-01,8.95514433E-01,-3.71684635E-01,-2.44753821E-01,8.95514433E-01,1.00000000E+00,2,2,13028
224,13,28,0,7,1.77884998E+03,1.69128143E+02,5.60418848E-01,2.19496001E-01,7.98593902E-01,5.60418848E-01,2.19496001E-01,7.98593902E-01,1.00000000E+00,2,2,13028
225,13,28,0,3,9.69194564E+02,8.21221168E+01,7.99890839E-01,-1.60798899E-01,5.78202698E-01,7.99890839E-01,-1.60798899E-01,5.78202698E-01,1.00000000E+00,2,2,13028
225,13,28,0,7,1.77884998E+03,8.21221168E+01,4.94404331E-01,-3.96479377E-02,-8.68327357E-01,4.94404331E-01,-3.96479377E-02,-8.68327357E-01,1.00000000E+00,2,2,13028
226,13,28,0,3,1.12996801E+03,2.45007374E+02,-9.85145804E-01,-1.04578528E-01,1.36202335E-01,-9.85145804E-01,-1.04578528E-01,1.36202335E-01,1.00000000E+00,2,2,13028
226,13,28,0,7,1.77884998E+03,2.45007374E+02,1.99459604E-01,8.44965430E-01,-4.96235115E-01,1.99459604E-01,8.44965430E-01,-4.96235115E-01,1.00000000E+00,2,2,13028
227,13,28,0,3,1.73859851E+03,1.00114117E+02,2.42817496E-01,-3.73572966E-01,8.95255775E-01,2.42817496E-01,-3.73572966E-01,8.95255775E-01,1.00000000E+00,2,2,13028
227,13,28,0,7,1.77884998E+03,1.00114117E+02,3.50475284E-01,-8.97243908E-01,-2.68552498E-01,3.50475284E-01,-8.97243908E-01,-2.68552498E-01,1.00000000E+00,2,2,13028
228,13,28,0,3,1.47187609E+03,8.67970133E+01,-1.19208159E-01,-9.55436329E-01,-2.70057096E-01,-1.19208159E-01,-9.55436329E-01,-2.70057096E-01,1.00000000E+00,2,2,13028
228,13,28,0,7,1.77884998E+03,8.67970133E+01,-6.46050332E-01,-6.55761609E-01,-3.90634970E-01,-6.46050332E-01,-6.55761609E-01,-3.90634970E-01,1.00000000E+00,2,2,13028
229,13,28,0,3,1.24063089E+03,9.17210369E+02,6.14109063E-01,2.44581128E-01,7.50366664E-01,6.14109063E-01,2.44581128E-01,7.50366664E-01,1.00000000E+00,2,2,13028
229,13,28,0,7,1.77884998E+03,9.17210369E+02,1.32287098E-02,-9.83142988E-01,1.82359171E-01,1.32287098E-02,-9.83142988E-01,1.82359171E-01,1.00000000E+00,2,2,13028
230,13,28,0,3,1.50878759E+03,2.69043599E+02,-7.07725939E-01,6.78677174E-01,1.96268411E-01,-7.07725939E-01,6.78677174E-01,1.96268411E-01,1.00000000E+00,2,2,13028
230,13,28,0,7,1.77884998E+03,2.69043599E+02,-6.29693948E-01,-4.94309198E-01,-5.99286200E-01,-6.29693948E-01,-4.94309198E-01,-5.99286200E-01,1.00000000E+00,2,2,13028
231,13,28,0,3,8.90816531E+02,3.78811507E+02,3.64904803E-01,7.55542665E-01,-5.44058605E-01,3.64904803E-01,7.55542665E-01,-5.44058605E-01,1.00000000E+00,2,2,13028
231,13,28,0,7,1.77884998E+03,3.78811507E+02,9.82347176E-01,1.66213631E-01,-8.58315436E-02,9.82347176E-01,1.66213631E-01,-8.58315436E-02,1.00000000E+00,2,2,13028
232,13,28,0,3,1.91285348E+03,1.07913770E+02,1.96636152E-01,-9.74818766E-01,-1.05178885E-01,1.96636152E-01,-9.74818766E-01,-1.05178885E-01,1.00000000E+00,2,2,13028
