e_low_keV,e_high_keV,photon_count
3.0,4.0,111
27.0,28.0,863
30.0,31.0,166
31.0,32.0,27
442.0,443.0,2565
526.0,527.0,256
743.0,744.0,23
969.0,970.0,65
