nuclide,particle_code,particle,multiplicity,events,fraction
Cu-64,3,ELECTRON,0,735,0.03675
Cu-64,3,ELECTRON,1,14793,0.73965
Cu-64,3,ELECTRON,2,4472,0.2236
Cu-64,4,POSITRON,0,16444,0.8222
Cu-64,4,POSITRON,1,3556,0.1778
Cu-64,7,PHOTON,0,18075,0.90375
Cu-64,7,PHOTON,1,913,0.04565
Cu-64,7,PHOTON,2,787,0.03935
Cu-64,7,PHOTON,3,103,0.00515
Cu-64,7,PHOTON,4,26,0.0013
Cu-64,7,PHOTON,5,2,0.0001
Cu-64,7,PHOTON,6,94,0.0047
