code,global_history_id,source_volume,material,production_tag,tes_total_keV,shield_total_keV,active_veto,weighted_source_to_tes_cm,min_source_to_tes_cm,n_tes_pixels,n_shield_segments,top_carriers
megalib,163388,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,510.9989,510.9989419000001,False,0.3251294791921267,0.2754704637524869,1,1,MEGAlib:e-|gamma|phot|eIoni:4; MEGAlib:gamma|gamma|phot|phot:2; MEGAlib:gamma|e+|annihil|phot:1
megalib,20517,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,510.9989,0.0,True,0.32920968574289694,0.263471617992318,1,0,MEGAlib:e-|gamma|phot|eIoni:3; MEGAlib:gamma|e+|annihil|phot:1; MEGAlib:gamma|gamma|phot|phot:1
megalib,278575,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,510.99894,0.0,True,0.34407696833468027,0.25410530996122477,1,0,MEGAlib:e-|gamma|phot|eIoni:2; MEGAlib:gamma|e+|annihil|compt:1; MEGAlib:gamma|e+|annihil|phot:1
megalib,823643,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,510.99895200000003,0.0,True,0.3698075897021442,0.34248286061239636,1,0,MEGAlib:e-|gamma|phot|msc:6; MEGAlib:e-|gamma|phot|eIoni:3; MEGAlib:gamma|e+|annihil|phot:1
megalib,841960,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,510.99890009999996,142.30788,False,0.3735286155162238,0.19055117432660978,1,1,MEGAlib:e-|gamma|phot|eIoni:3; MEGAlib:gamma|e+|annihil|phot:1; MEGAlib:gamma|gamma|phot|phot:1
megalib,733362,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,510.99888,205.502422,False,0.3976183960034266,0.2944890424715495,1,1,MEGAlib:gamma|e+|annihil|compt:1; MEGAlib:gamma|e+|annihil|phot:1; MEGAlib:e-|gamma|phot|eIoni:1
megalib,548048,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,510.99892000000006,0.0,True,0.4046672901623707,0.20339300903187402,2,0,MEGAlib:e-|gamma|phot|eIoni:5; MEGAlib:gamma|gamma|phot|phot:3; MEGAlib:gamma|e+|annihil|phot:1
megalib,455976,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,510.99885900000004,206.81555,False,0.40948103601798835,0.3880686715067323,1,1,MEGAlib:e-|gamma|phot|msc:12; MEGAlib:e-|gamma|phot|eIoni:2; MEGAlib:gamma|e+|annihil|phot:1
megalib,999878,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,510.998874,510.99886000000004,False,0.4140277285299114,0.33466765175194335,2,1,MEGAlib:e-|gamma|phot|eIoni:5; MEGAlib:e-|gamma|phot|msc:4; MEGAlib:gamma|gamma|phot|phot:2
megalib,239980,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,510.99890000000005,0.0,True,0.42440036656760005,0.31727737766927216,1,0,MEGAlib:e-|gamma|phot|eIoni:3; MEGAlib:gamma|e+|annihil|phot:1; MEGAlib:gamma|gamma|phot|phot:1
megalib,784493,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,510.99890800000003,0.0,True,0.42669895638671873,0.4219269041099253,1,0,MEGAlib:e-|gamma|phot|msc:18; MEGAlib:e-|gamma|phot|eIoni:2; MEGAlib:gamma|e+|annihil|phot:1
megalib,775573,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,510.99892,312.62424,False,0.4295265000335233,0.39589155310443275,1,1,MEGAlib:e-|gamma|phot|eIoni:4; MEGAlib:gamma|gamma|phot|phot:2; MEGAlib:gamma|e+|annihil|phot:1
megalib,762526,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,510.99890800000003,71.30389,False,0.4407605880739912,0.43026274792619446,2,1,MEGAlib:e-|gamma|phot|eIoni:3; MEGAlib:e-|gamma|phot|msc:2; MEGAlib:gamma|e+|annihil|phot:1
megalib,659457,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,510.998941,0.0,True,0.45711402244917243,0.4427668588201813,3,0,MEGAlib:e-|gamma|compt|msc:12; MEGAlib:e-|gamma|phot|eIoni:5; MEGAlib:gamma|gamma|phot|phot:2
megalib,783924,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,510.99891,0.0,True,0.46461814279281033,0.41452180735904154,1,0,MEGAlib:e-|gamma|phot|eIoni:3; MEGAlib:gamma|e+|annihil|phot:1; MEGAlib:e-|e-|eIoni|eIoni:1
megalib,773575,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,510.99889,0.0,True,0.46686487797122894,0.42650872607276163,2,0,MEGAlib:e-|gamma|phot|eIoni:3; MEGAlib:gamma|e+|annihil|phot:1; MEGAlib:gamma|gamma|phot|phot:1
megalib,395957,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,510.999,510.99897000000004,False,0.4676832640316774,0.4486180431538727,1,1,MEGAlib:gamma|e+|annihil|compt:1; MEGAlib:gamma|e+|annihil|phot:1; MEGAlib:e-|gamma|phot|eIoni:1
megalib,175250,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,510.99889,510.99890000000005,False,0.4735135506528706,0.43927313343139934,3,1,MEGAlib:e-|gamma|phot|eIoni:3; MEGAlib:gamma|gamma|phot|phot:2; MEGAlib:e-|gamma|compt|eIoni:2
megalib,800350,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,n,510.99890000000005,0.0,True,0.47960904681153105,0.31064018223418893,2,0,MEGAlib:e-|gamma|phot|eIoni:5; MEGAlib:gamma|gamma|phot|phot:3; MEGAlib:gamma|e+|annihil|compt:1
