code,source_volume,source_histories,w2_raw_events,conditional_efficiency,active_veto_events,active_veto_fraction,median_source_to_tes_cm,p10_source_to_tes_cm,p90_source_to_tes_cm,single_tes_pixel_fraction,multi_tes_pixel_fraction,shield_touched_fraction,side_shield_touched_fraction,top_tes_channels,top_carriers
fluka,Cu_MXC_Clamp_Pad_YM_ZP_for_OffAxisStem,156,1,0.00641025641025641,1,1.0,0.8084671343753056,0.8084671343753056,0.8084671343753056,1.0,0.0,0.0,0.0,TP_L5_00087:1,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:1
fluka,Cu_MXC_Clamp_Pad_YP_ZM_for_OffAxisStem,135,1,0.007407407407407408,0,0.0,2.185601195872014,2.185601195872014,2.185601195872014,1.0,0.0,1.0,0.0,TP_L5_00180:1,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:1
fluka,Cu_MXC_Clamp_Pad_YP_ZP_for_OffAxisStem,141,1,0.0070921985815602835,1,1.0,2.0396097026174833,2.0396097026174833,2.0396097026174833,1.0,0.0,0.0,0.0,TP_L5_00322:1,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:1
fluka,Cu_SubstrateSupport_OpenRing_L1_YM_panel,140,4,0.02857142857142857,1,0.25,6.463655197753273,5.974386883350286,6.792746090334866,0.25,0.75,0.75,0.25,TP_L2_00044:1; TP_L2_00043:1; TP_L2_00045:1,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:8
fluka,Cu_SubstrateSupport_OpenRing_L1_YP_panel,430,3,0.0069767441860465115,3,1.0,4.805895968088967,4.342367505997762,7.0169653363123015,0.6666666666666666,0.3333333333333333,0.0,0.0,TP_L0_00253:1; TP_L0_00232:1; TP_L4_00240:1,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:3; FLUKA:ELECTRON|MGDRAW_EMFSCO_CONTINUOUS|3|2:1
fluka,Cu_SubstrateSupport_OpenRing_L1_ZP_panel,137,1,0.0072992700729927005,1,1.0,6.373026421870039,6.373026421870039,6.373026421870039,0.0,1.0,0.0,0.0,TP_L1_00266:1; TP_L1_00208:1,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:2
fluka,Cu_SubstrateSupport_OpenRing_L2_YM_panel,283,3,0.01060070671378092,2,0.6666666666666666,6.2033867409118635,4.914576332322965,7.526438204038129,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,TP_L4_00162:1; TP_L2_00363:1; TP_L2_00364:1,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:4
fluka,Cu_SubstrateSupport_OpenRing_L2_YP_panel,137,3,0.021897810218978103,3,1.0,6.654752909542134,4.479734093286284,7.795630693074468,1.0,0.0,0.0,0.0,TP_L3_00000:1; TP_L5_00354:1; TP_L0_00166:1,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:3
fluka,Cu_SubstrateSupport_OpenRing_L2_ZP_panel,298,6,0.020134228187919462,3,0.5,3.893887499779826,3.0879081618595317,5.57191911104734,0.5,0.5,0.5,0.16666666666666666,TP_L0_00152:1; TP_L1_00050:1; TP_L2_00194:1,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:9
fluka,Cu_SubstrateSupport_OpenRing_L3_YM_panel,153,2,0.013071895424836602,1,0.5,5.332823757856703,4.673268894413803,5.992378621299604,0.0,1.0,0.5,0.5,TP_L5_00176:1; TP_L5_00134:1; TP_L2_00310:1,FLUKA:EM_BELOW_THRESHOLD|ENDRAW_EM_LOCAL_DEPOSITION|211|20:4
