code,stage,events,min_source_to_tes_cm,p10_source_to_tes_cm,median_source_to_tes_cm,p90_source_to_tes_cm,mean_source_to_tes_cm,single_tes_pixel_fraction,multi_tes_pixel_fraction,shield_touched_fraction,side_shield_touched_fraction,top_shield_touched_fraction
fluka,raw,1269,0.2818211710854953,2.045954729294811,5.528126340356792,11.026663578736875,6.252373586060001,0.6044129235618597,0.3955870764381403,0.491725768321513,0.34200157604412923,0.09692671394799054
fluka,active_veto,662,0.2818211710854953,1.977005833081027,5.604651762936252,13.187424851407897,6.673988422449006,0.622356495468278,0.3776435045317221,0.0256797583081571,0.021148036253776436,0.0030211480362537764
megalib,raw,1008,0.254322757319108,1.0869705337760407,5.8464619406365514,9.895368210752892,5.956236608066532,0.6200396825396826,0.37996031746031744,0.4513888888888889,0.30952380952380953,0.06944444444444445
megalib,active_veto,563,0.2555636258172536,1.1882838618175002,6.11785117792549,11.825052673980178,6.597657301345859,0.6074600355239786,0.3925399644760213,0.017761989342806393,0.014209591474245116,0.0017761989342806395
