nuclide,particle_code,particle,multiplicity,events,fraction
Na-24,1,PHOTON,1,9,0.00045
Na-24,1,PHOTON,2,19991,0.99955
Na-24,3,ELECTRON,1,20000,1.0
Na-24,13,NEUTRINO_OR_ANTINEUTRINO,1,20000,1.0
Na-24,12024,ION_ZA_12024,2,9,0.00045
Na-24,12024,ION_ZA_12024,3,19991,0.99955
