nuclide,event_id,interaction_id,parent_track_id,interaction_type,time_s,x_cm,y_cm,z_cm,particle_in_code,particle_out_code,dir_x,dir_y,dir_z,kinetic_energy_keV
Cu-64,16,4,1,4,0.0,0.0,0.0,0.0,29064,28064,-0.59706,-0.10158,-0.79574,0.006
Cu-64,17,2,1,4,0.0,0.0,0.0,0.0,29064,12,-0.31062,0.91331,0.26341,1666.059
Cu-64,17,3,1,4,0.0,0.0,0.0,0.0,29064,28064,0.31062,-0.91331,-0.26341,0.023
Cu-64,17,4,1,4,0.0,0.0,0.0,0.0,29064,1,0.89471,0.33375,0.29683,7.418
Cu-64,17,5,1,4,0.0,0.0,0.0,0.0,29064,3,-0.15269,0.96931,-0.19267,0.855
Cu-64,17,6,1,4,0.0,0.0,0.0,0.0,29064,3,-0.04882,0.79942,0.59879,0.029
Cu-64,18,2,1,4,0.0,0.0,0.0,0.0,29064,2,0.00669,-0.44608,0.89497,172.65
Cu-64,18,3,1,4,0.0,0.0,0.0,0.0,29064,12,-0.93127,-0.0506,-0.3608,479.734
Cu-64,18,4,1,4,0.0,0.0,0.0,0.0,29064,28064,0.80635,0.41226,-0.42408,0.003
Cu-64,19,2,1,4,0.0,0.0,0.0,0.0,29064,12,-0.13047,-0.98985,-0.05631,1666.059
Cu-64,19,3,1,4,0.0,0.0,0.0,0.0,29064,28064,0.13047,0.98985,0.05631,0.023
Cu-64,19,4,1,4,0.0,0.0,0.0,0.0,29064,3,-0.7379,-0.49577,-0.45794,6.428
Cu-64,19,5,1,4,0.0,0.0,0.0,0.0,29064,3,0.92697,0.2222,0.30226,1.874
Cu-64,20,2,1,4,0.0,0.0,0.0,0.0,29064,3,-0.85278,0.36502,-0.37354,329.244
Cu-64,20,3,1,4,0.0,0.0,0.0,0.0,29064,13,0.38196,-0.47195,0.79459,250.45
Cu-64,20,4,1,4,0.0,0.0,0.0,0.0,29064,30064,0.96166,-0.25461,0.10192,0.002
Cu-64,21,2,1,4,0.0,0.0,0.0,0.0,29064,3,0.62707,0.39512,0.67132,62.265
Cu-64,21,3,1,4,0.0,0.0,0.0,0.0,29064,13,0.7044,-0.70577,0.07557,517.428
Cu-64,21,4,1,4,0.0,0.0,0.0,0.0,29064,30064,-0.84165,0.41893,-0.34076,0.003
Cu-64,22,2,1,4,0.0,0.0,0.0,0.0,29064,12,-0.38029,0.9045,-0.19302,1666.059
Cu-64,22,3,1,4,0.0,0.0,0.0,0.0,29064,28064,0.38029,-0.9045,0.19302,0.023
Cu-64,22,4,1,4,0.0,0.0,0.0,0.0,29064,1,0.82365,0.37793,-0.42282,7.436
Cu-64,22,5,1,4,0.0,0.0,0.0,0.0,29064,3,0.69058,0.70777,-0.14888,0.774
Cu-64,22,6,1,4,0.0,0.0,0.0,0.0,29064,3,-0.27609,0.04798,-0.95993,0.093
Cu-64,23,2,1,4,0.0,0.0,0.0,0.0,29064,3,-0.51253,-0.59387,0.62018,212.928
Cu-64,23,3,1,4,0.0,0.0,0.0,0.0,29064,13,0.84714,-0.37801,0.37343,366.765
Cu-64,23,4,1,4,0.0,0.0,0.0,0.0,29064,30064,-0.07518,0.69577,-0.71432,0.003
Cu-64,24,2,1,4,0.0,0.0,0.0,0.0,29064,3,0.89774,0.21218,-0.38606,364.068
Cu-64,24,3,1,4,0.0,0.0,0.0,0.0,29064,13,-0.62733,0.58814,-0.51044,215.624
Cu-64,24,4,1,4,0.0,0.0,0.0,0.0,29064,30064,-0.72737,-0.40178,0.55634,0.004
Cu-64,25,2,1,4,0.0,0.0,0.0,0.0,29064,3,0.98464,-0.15313,-0.08387,238.129
Cu-64,25,3,1,4,0.0,0.0,0.0,0.0,29064,13,-0.21255,0.69448,-0.6874,341.564
Cu-64,25,4,1,4,0.0,0.0,0.0,0.0,29064,30064,-0.82489,-0.27096,0.49612,0.003
Cu-64,26,2,1,4,0.0,0.0,0.0,0.0,29064,2,-0.96708,0.06423,-0.24624,291.609
Cu-64,26,3,1,4,0.0,0.0,0.0,0.0,29064,12,-0.02517,0.3433,0.93889,360.774
Cu-64,26,4,1,4,0.0,0.0,0.0,0.0,29064,28064,0.92587,-0.2493,-0.28391,0.004
Cu-64,27,2,1,4,0.0,0.0,0.0,0.0,29064,12,-0.12683,-0.38647,0.91354,1666.059
Cu-64,27,3,1,4,0.0,0.0,0.0,0.0,29064,28064,0.12683,0.38647,-0.91354,0.023
Cu-64,27,4,1,4,0.0,0.0,0.0,0.0,29064,1,0.30726,0.59812,0.74016,7.436
Cu-64,27,5,1,4,0.0,0.0,0.0,0.0,29064,3,0.72991,0.02467,0.6831,0.773
Cu-64,27,6,1,4,0.0,0.0,0.0,0.0,29064,3,-0.18919,-0.90621,-0.37815,0.093
Cu-64,28,2,1,4,0.0,0.0,0.0,0.0,29064,12,0.58158,-0.76378,-0.28002,1666.059
Cu-64,28,3,1,4,0.0,0.0,0.0,0.0,29064,28064,-0.58158,0.76378,0.28002,0.023
Cu-64,28,4,1,4,0.0,0.0,0.0,0.0,29064,1,0.42988,0.66075,-0.61532,7.418
Cu-64,28,5,1,4,0.0,0.0,0.0,0.0,29064,3,-0.17179,0.91218,0.37205,0.791
Cu-64,28,6,1,4,0.0,0.0,0.0,0.0,29064,3,0.88019,-0.01238,-0.47446,0.095
Cu-64,29,2,1,4,0.0,0.0,0.0,0.0,29064,12,0.38555,-0.43286,-0.81485,1666.059
Cu-64,29,3,1,4,0.0,0.0,0.0,0.0,29064,28064,-0.38555,0.43286,0.81485,0.023
