primary_id,source_event_id,pair_id,pair_member,family,particle,fluka_particle_code,megalib_particle_code,kinetic_energy_keV,x_cm,y_cm,z_cm,dir_x,dir_y,dir_z,pol_x,pol_y,pol_z,weight,concurrent_with_previous,seed,source_note
1,1,,0,mono511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,0.2529834109956038,-0.18999839928723178,0.9486305930283501,0.0,-0.9805265161182101,-0.1963867388320444,1.0,0,24066501,T0 monoenergetic 511 keV photon
2,2,,0,mono511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,-0.9972582045350423,0.064180644920021,0.03683637204169222,-0.06422423323033809,-0.9979354928380767,0.0,1.0,0,24066501,T0 monoenergetic 511 keV photon
3,3,,0,mono511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,0.11083793256214385,-0.5615790204861948,0.8199658263946832,0.9810740388988411,0.1936329780763471,0.0,1.0,0,24066501,T0 monoenergetic 511 keV photon
4,4,,0,mono511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,0.2701593852333235,-0.5181196959647186,0.811520725073476,0.8866998751071674,0.4623454676807524,0.0,1.0,0,24066501,T0 monoenergetic 511 keV photon
5,5,,0,mono511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,0.930332673248629,0.3322541333222711,-0.15520408492151927,-0.336329631770552,0.941744327720154,0.0,1.0,0,24066501,T0 monoenergetic 511 keV photon
6,6,,0,mono511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,-0.6101465982708171,-0.7918324543796279,-0.02687922635949214,0.7921186561003647,-0.6103671310430733,0.0,1.0,0,24066501,T0 monoenergetic 511 keV photon
7,7,,0,mono511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,-0.9293191271771222,-0.35140654799563004,-0.1134874349368542,0.35369159675477174,-0.935362098005398,0.0,1.0,0,24066501,T0 monoenergetic 511 keV photon
8,8,,0,mono511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,-0.8134945922933045,-0.5793319539009562,-0.05100034802676179,0.5800868583594017,-0.8145546247850536,0.0,1.0,0,24066501,T0 monoenergetic 511 keV photon
9,9,,0,mono511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,-0.6439347882076542,-0.7188549289108598,0.26190757857787667,0.7448556347958066,-0.6672256614616496,0.0,1.0,0,24066501,T0 monoenergetic 511 keV photon
10,10,,0,mono511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,0.3296215312419723,-0.09281874988844875,0.9395394221696305,0.0,-0.9951555265746486,-0.09831316253652941,1.0,0,24066501,T0 monoenergetic 511 keV photon
11,11,,0,mono511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,0.5745852025857648,0.8018446125830737,0.1640032385075858,-0.8128507743315656,0.5824719895999929,0.0,1.0,0,24066501,T0 monoenergetic 511 keV photon
12,12,,0,mono511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,0.8156198933795021,-0.4657389312486605,-0.3432949714792881,0.49587438728380256,0.8683942607110627,0.0,1.0,0,24066501,T0 monoenergetic 511 keV photon
13,13,,0,mono511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,0.6525344674671464,-0.7568593936068808,-0.03691377895031223,0.7573755797451052,0.6529795028986484,0.0,1.0,0,24066501,T0 monoenergetic 511 keV photon
14,14,,0,mono511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,-0.7205386598681857,0.0008342194312647057,0.6934142655824869,-0.0011577711490304637,-0.9999993297827586,0.0,1.0,0,24066501,T0 monoenergetic 511 keV photon
