code,family,particle,histories,events_with_ta_deposit,ta_deposit_efficiency,events_480_550_keV,eff_480_550,events_w2_510p58_511p42,eff_w2_510p58_511p42,mean_ta_deposit_keV_all,mean_ta_deposit_keV_nonzero
FLUKA,cu64_eplus_smoke,eplus,100000,5393,0.05393,1232,0.01232,1132,0.01132,15.33646628620985,284.3772721344307
FLUKA,mono511_gamma,gamma,100000,2758,0.02758,592,0.00592,551,0.00551,7.655886440641891,277.58834084995976
FLUKA,pair511_gamma,gamma,100000,2680,0.0268,583,0.00583,545,0.00545,7.560948625679011,282.12494871936605
MEGAlib,cu64_eplus_smoke,eplus,100000,5480,0.0548,1212,0.01212,1100,0.011,15.604094254600001,284.74624552189783
MEGAlib,mono511_gamma,gamma,100000,3072,0.03072,599,0.00599,559,0.00559,8.4590262676,275.3589279817708
MEGAlib,pair511_gamma,gamma,100000,3054,0.03054,578,0.00578,541,0.00541,8.3530062779,273.51035618533075
