primary_id,source_event_id,pair_id,pair_member,family,particle,fluka_particle_code,megalib_particle_code,kinetic_energy_keV,x_cm,y_cm,z_cm,dir_x,dir_y,dir_z,pol_x,pol_y,pol_z,weight,concurrent_with_previous,seed,source_note
23,23,,0,mono511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,-0.8827477750752282,-0.24161458424545912,-0.40296247750830166,0.2639971900281125,-0.9645234489929525,0.0,1.0,0,24066701,T0 monoenergetic 511 keV photon
24,24,,0,mono511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,0.9946193834555531,-0.05696574189168497,-0.08652852885161844,0.057180203492654125,0.9983638737096503,0.0,1.0,0,24066701,T0 monoenergetic 511 keV photon
25,25,,0,mono511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,-0.32604830146581515,0.8815047975538877,-0.3415286181284616,-0.9378993980191996,-0.34690736399682104,0.0,1.0,0,24066701,T0 monoenergetic 511 keV photon
26,26,,0,mono511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,-0.8159173212252461,-0.09638389189605097,-0.5700781264945964,0.11731378749362738,-0.9930948974110682,0.0,1.0,0,24066701,T0 monoenergetic 511 keV photon
27,27,,0,mono511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,-0.9572757407248059,-0.2574389771695639,-0.13171305650414045,0.25970152676278335,-0.9656889338690173,0.0,1.0,0,24066701,T0 monoenergetic 511 keV photon
28,28,,0,mono511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,0.8767196001473164,0.0005155749077803148,0.48100153523668104,-0.0005880726500732766,0.9999998270852642,0.0,1.0,0,24066701,T0 monoenergetic 511 keV photon
29,29,,0,mono511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,-0.27381958715372823,-0.6953737938426848,0.6644381991786694,0.9304611065450351,-0.3663906783844107,0.0,1.0,0,24066701,T0 monoenergetic 511 keV photon
30,30,,0,mono511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,0.9337876445467378,0.3563294281785861,0.03271044948907331,-0.35652021281686563,0.934287609814567,0.0,1.0,0,24066701,T0 monoenergetic 511 keV photon
31,31,,0,mono511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,-0.28569751032366486,0.5828545742122505,-0.7606953910171376,-0.8979301699781904,-0.44013794410722884,0.0,1.0,0,24066701,T0 monoenergetic 511 keV photon
32,32,,0,mono511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,-0.7435313329346844,-0.4649698213201106,-0.48058737208328295,0.5302143696612885,-0.847863622409101,0.0,1.0,0,24066701,T0 monoenergetic 511 keV photon
33,33,,0,mono511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,-0.6818220362781272,0.4826897509962581,0.5496629104539605,-0.5778040741150425,-0.8161755031462647,0.0,1.0,0,24066701,T0 monoenergetic 511 keV photon
34,34,,0,mono511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,0.6513946020359836,-0.748977849567562,-0.12131468705615589,0.7545508888070503,0.6562415380029598,0.0,1.0,0,24066701,T0 monoenergetic 511 keV photon
35,35,,0,mono511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,-0.6604085445066404,-0.11195876608708696,-0.7425131574853592,0.16714467669789326,-0.9859323795532617,0.0,1.0,0,24066701,T0 monoenergetic 511 keV photon
36,36,,0,mono511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,-0.6833314849675312,-0.7266886943934411,0.07058061414315508,0.7285055299013927,-0.6850399206638187,0.0,1.0,0,24066701,T0 monoenergetic 511 keV photon
37,37,,0,mono511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,-0.276367394724042,-0.2986099562936149,0.9134840760165286,0.0,-0.9505042582927105,-0.31071153014882497,1.0,0,24066701,T0 monoenergetic 511 keV photon
38,38,,0,mono511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,-0.24253916597910077,-0.5526106024650198,-0.7973683433704967,0.9156869427933342,-0.4018923024863717,0.0,1.0,0,24066701,T0 monoenergetic 511 keV photon
39,39,,0,mono511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,-0.6541756896015076,-0.7499845097519675,0.0978642031924486,0.7536019666420786,-0.6573310245783257,0.0,1.0,0,24066701,T0 monoenergetic 511 keV photon
40,40,,0,mono511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,0.9531784536040134,-0.17652460784920987,0.24554001386483695,0.18209931313589242,0.9832801432732364,0.0,1.0,0,24066701,T0 monoenergetic 511 keV photon
41,41,,0,mono511_gamma,gamma,7,1,511.0,0.0,0.0,0.0,-0.3831057147894611,-0.4251358651420075,-0.8200545759067581,0.7428739599093148,-0.6694313106575265,0.0,1.0,0,24066701,T0 monoenergetic 511 keV photon
