code,event_id,family,primary_particle,ta_deposit_keV
FLUKA,4414,mono511_gamma,gamma,293.139501
FLUKA,4464,mono511_gamma,gamma,13.0708159
FLUKA,4589,mono511_gamma,gamma,52.7711912
FLUKA,4606,mono511_gamma,gamma,462.113665
FLUKA,4669,mono511_gamma,gamma,172.025245
FLUKA,4725,mono511_gamma,gamma,226.404557
FLUKA,4879,mono511_gamma,gamma,392.517164
FLUKA,4996,mono511_gamma,gamma,140.624567
FLUKA,5029,mono511_gamma,gamma,69.6791354
FLUKA,5146,mono511_gamma,gamma,215.130453
FLUKA,5174,mono511_gamma,gamma,217.609854
FLUKA,5190,mono511_gamma,gamma,212.639279
FLUKA,5212,mono511_gamma,gamma,511.0
FLUKA,5361,mono511_gamma,gamma,21.1016049
FLUKA,5391,mono511_gamma,gamma,13.6185731
FLUKA,5420,mono511_gamma,gamma,511.0
FLUKA,5484,mono511_gamma,gamma,241.759749
FLUKA,5498,mono511_gamma,gamma,511.0
FLUKA,5530,mono511_gamma,gamma,187.056586
FLUKA,5608,mono511_gamma,gamma,511.0
FLUKA,5623,mono511_gamma,gamma,98.660663
FLUKA,5644,mono511_gamma,gamma,37.9766346
FLUKA,5678,mono511_gamma,gamma,277.32594
FLUKA,5719,mono511_gamma,gamma,345.829214
FLUKA,5754,mono511_gamma,gamma,219.816951
FLUKA,5767,mono511_gamma,gamma,181.93794
FLUKA,5888,mono511_gamma,gamma,53.4813842
FLUKA,5911,mono511_gamma,gamma,78.4209575
FLUKA,5939,mono511_gamma,gamma,511.0
FLUKA,6030,mono511_gamma,gamma,282.416026
FLUKA,6047,mono511_gamma,gamma,48.4432707
FLUKA,6077,mono511_gamma,gamma,352.865755
FLUKA,6151,mono511_gamma,gamma,192.888471
FLUKA,6170,mono511_gamma,gamma,46.0659036
FLUKA,6188,mono511_gamma,gamma,34.9081356
FLUKA,6190,mono511_gamma,gamma,300.645145
FLUKA,6194,mono511_gamma,gamma,161.407551
FLUKA,6262,mono511_gamma,gamma,180.307204
FLUKA,6264,mono511_gamma,gamma,139.389911
FLUKA,6282,mono511_gamma,gamma,153.755077
FLUKA,6310,mono511_gamma,gamma,195.644452
FLUKA,6345,mono511_gamma,gamma,511.0
FLUKA,6356,mono511_gamma,gamma,50.2064622
FLUKA,6363,mono511_gamma,gamma,511.0
FLUKA,6372,mono511_gamma,gamma,410.235791
FLUKA,6473,mono511_gamma,gamma,313.53252
FLUKA,6496,mono511_gamma,gamma,2.28607724
FLUKA,6501,mono511_gamma,gamma,187.470332
FLUKA,6522,mono511_gamma,gamma,243.938005
FLUKA,6552,mono511_gamma,gamma,206.058707
FLUKA,6646,mono511_gamma,gamma,287.025762
FLUKA,6670,mono511_gamma,gamma,325.034111
FLUKA,6730,mono511_gamma,gamma,32.1644979
FLUKA,6735,mono511_gamma,gamma,292.225703
FLUKA,6810,mono511_gamma,gamma,511.0
FLUKA,6829,mono511_gamma,gamma,511.0
FLUKA,6836,mono511_gamma,gamma,511.0
FLUKA,6880,mono511_gamma,gamma,511.0
FLUKA,6908,mono511_gamma,gamma,218.242165
FLUKA,7234,mono511_gamma,gamma,355.88611
FLUKA,7243,mono511_gamma,gamma,511.0
FLUKA,7260,mono511_gamma,gamma,305.40099
FLUKA,7283,mono511_gamma,gamma,27.6995954
FLUKA,7312,mono511_gamma,gamma,222.901087
FLUKA,7316,mono511_gamma,gamma,288.027571
FLUKA,7324,mono511_gamma,gamma,211.837713
FLUKA,7379,mono511_gamma,gamma,171.428601
FLUKA,7394,mono511_gamma,gamma,156.725261
FLUKA,7420,mono511_gamma,gamma,100.688575
FLUKA,7434,mono511_gamma,gamma,511.0
FLUKA,7439,mono511_gamma,gamma,8.86927198
FLUKA,7485,mono511_gamma,gamma,191.508221
FLUKA,7566,mono511_gamma,gamma,293.962463
FLUKA,7572,mono511_gamma,gamma,161.331459
FLUKA,7596,mono511_gamma,gamma,255.865815
FLUKA,7608,mono511_gamma,gamma,385.74366
FLUKA,7638,mono511_gamma,gamma,340.520833
FLUKA,7687,mono511_gamma,gamma,352.444161
FLUKA,7799,mono511_gamma,gamma,443.251478
FLUKA,7817,mono511_gamma,gamma,89.6189312
FLUKA,7872,mono511_gamma,gamma,511.0
FLUKA,7887,mono511_gamma,gamma,58.0862616
FLUKA,7907,mono511_gamma,gamma,334.728669
FLUKA,7932,mono511_gamma,gamma,54.2166069
FLUKA,8072,mono511_gamma,gamma,240.205198
FLUKA,8120,mono511_gamma,gamma,65.7173321
FLUKA,8192,mono511_gamma,gamma,306.544432
FLUKA,8360,mono511_gamma,gamma,179.184937
FLUKA,8399,mono511_gamma,gamma,170.898998
FLUKA,8436,mono511_gamma,gamma,511.0
FLUKA,8454,mono511_gamma,gamma,511.0
FLUKA,8476,mono511_gamma,gamma,116.025369
FLUKA,8510,mono511_gamma,gamma,300.228829
FLUKA,8517,mono511_gamma,gamma,24.7983263
