family,metric,fluka_count,megalib_count,fluka,megalib,fluka_minus_megalib,fluka_over_megalib,relative_delta_vs_megalib,poisson_z_approx
cu64_eplus_smoke,ta_deposit_efficiency,5393.0,5480.0,0.05393,0.0548,-0.0008700000000000027,0.9841240875912408,-0.015875912408759175,-0.834342869295687
cu64_eplus_smoke,eff_480_550,1232.0,1212.0,0.01232,0.01212,0.0001999999999999988,1.0165016501650164,0.0165016501650164,0.4045566970313675
cu64_eplus_smoke,eff_w2_510p58_511p42,1132.0,1100.0,0.01132,0.011,0.00032000000000000084,1.0290909090909093,0.029090909090909167,0.6773340106676827
mono511_gamma,ta_deposit_efficiency,2758.0,3072.0,0.02758,0.03072,-0.0031400000000000004,0.8977864583333334,-0.10221354166666667,-4.112400191430406
mono511_gamma,eff_480_550,592.0,599.0,0.00592,0.00599,-6.999999999999975e-05,0.988313856427379,-0.011686143572620994,-0.20283465572991066
mono511_gamma,eff_w2_510p58_511p42,551.0,559.0,0.00551,0.00559,-8.000000000000021e-05,0.9856887298747764,-0.01431127012522365,-0.24012009007506566
pair511_gamma,ta_deposit_efficiency,2680.0,3054.0,0.0268,0.03054,-0.0037400000000000003,0.8775376555337262,-0.12246234446627374,-4.9390424392035674
pair511_gamma,eff_480_550,583.0,578.0,0.00583,0.00578,4.99999999999997e-05,1.008650519031142,0.008650519031141815,0.1467418177209373
pair511_gamma,eff_w2_510p58_511p42,545.0,541.0,0.00545,0.00541,4.0000000000000105e-05,1.0073937153419594,0.007393715341959354,0.1213794258068809
