window,stage,g4_events,g4_rate_s-1,g4_sigma_s-1,fluka_events,fluka_rate_s-1,fluka_sigma_s-1,fluka_over_g4,z,fluka_class_counts
broad_480_550,raw,86,0.007382250001628216,0.0007960484901566585,75,0.01770333094563126,0.0033974771303059413,2.3980942045753864,2.957761570522719,{}
broad_480_550,active_veto_pass,43,0.0036911250008141083,0.0005628912855430856,21,0.009037724671787432,0.0024495656374452076,2.448501383668688,2.127231332020521,{}
broad_480_550,side_compton_fov_pass,37,0.003176084303026095,0.000522145043013931,18,0.007001384140622803,0.002148986790528132,2.2044075259438345,1.7297224925081935,"{""keep"": 2, ""single"": 16, ""veto"": 3}"
w2_510p58_511p42,raw,54,0.004635366280092136,0.0006307934531738168,20,0.012227335974062713,0.0028798353853080145,2.6378359843053594,2.57519897313105,{}
w2_510p58_511p42,active_veto_pass,33,0.002832723837834083,0.0004931139256599855,12,0.008145362110728156,0.002351363503637939,2.8754522420922424,2.211283315891044,{}
w2_510p58_511p42,side_compton_fov_pass,30,0.0025752034889400762,0.00047016568035282815,10,0.006787801757281753,0.0021464913858703755,2.6358312212739095,1.917100055874281,"{""single"": 10, ""veto"": 2}"
