code,primary_id,family,particle,expected_particle_code,observed_particle_code,expected_energy_keV,observed_energy_keV,energy_delta_keV,energy_rel_delta,expected_dir_x,expected_dir_y,expected_dir_z,observed_dir_x,observed_dir_y,observed_dir_z,direction_dot,expected_weight,observed_weight,status
FLUKA,1,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,0.2529834109956038,-0.18999839928723178,0.9486305930283501,0.2529834110203285,-0.18999839901526736,0.9486305930762273,1.0,1.0,1.0,PASS
FLUKA,2,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,-0.9972582045350423,0.064180644920021,0.03683637204169222,-0.9972582045404015,0.06418064487042158,0.036836371983023516,1.0,1.0,1.0,PASS
FLUKA,3,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,0.11083793256214385,-0.5615790204861948,0.8199658263946832,0.11083793306075386,-0.5615790203078197,0.8199658264494498,1.0,1.0,1.0,PASS
FLUKA,4,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,0.2701593852333235,-0.5181196959647186,0.811520725073476,0.2701593850281997,-0.5181196960540823,0.8115207250847081,1.0,1.0,1.0,PASS
FLUKA,5,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,0.930332673248629,0.3322541333222711,-0.15520408492151927,0.9303326733034775,0.33225413310838237,-0.15520408505062805,1.0,1.0,1.0,PASS
FLUKA,6,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,-0.6101465982708171,-0.7918324543796279,-0.02687922635949214,-0.6101465982835662,-0.7918324543680049,-0.026879226412492147,1.0,1.0,1.0,PASS
FLUKA,7,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,-0.9293191271771222,-0.35140654799563004,-0.1134874349368542,-0.9293191271448821,-0.3514065480547847,-0.11348743501769283,1.0,1.0,1.0,PASS
FLUKA,8,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,-0.8134945922933045,-0.5793319539009562,-0.05100034802676179,-0.8134945921485336,-0.5793319541057786,-0.05100034800931201,1.0,1.0,1.0,PASS
FLUKA,9,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,-0.6439347882076542,-0.7188549289108598,0.26190757857787667,-0.6439347879736499,-0.718854928970584,0.2619075789892826,1.0000000000000002,1.0,1.0,PASS
FLUKA,10,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,0.3296215312419723,-0.09281874988844875,0.9395394221696305,0.32962153107847025,-0.09281874992209659,0.9395394222236683,1.0,1.0,1.0,PASS
FLUKA,11,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,0.5745852025857648,0.8018446125830737,0.1640032385075858,0.5745852030854773,0.8018446121192853,0.1640032390243977,1.0,1.0,1.0,PASS
FLUKA,12,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,0.8156198933795021,-0.4657389312486605,-0.3432949714792881,0.8156198934811157,-0.4657389312747289,-0.34329497120250196,1.0,1.0,1.0,PASS
FLUKA,13,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,0.6525344674671464,-0.7568593936068808,-0.03691377895031223,0.6525344670035621,-0.7568593940041317,-0.03691377900020151,1.0000000000000002,1.0,1.0,PASS
FLUKA,14,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,-0.7205386598681857,0.0008342194312647057,0.6934142655824869,-0.7205386597229625,0.0008342194306792537,0.6934142657333915,1.0,1.0,1.0,PASS
FLUKA,15,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,-0.6986856981998796,-0.6623031571571433,-0.27054172164497525,-0.6986856981031823,-0.6623031570978092,-0.2705417220399537,1.0,1.0,1.0,PASS
FLUKA,16,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,-0.869211843988323,-0.49440566657069107,0.005814390183846553,-0.8692118438067046,-0.494405666890054,0.005814390178706995,1.0000000000000002,1.0,1.0,PASS
FLUKA,17,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,0.7153302055151891,-0.21559224967734203,0.6646974341432799,0.7153302057702898,-0.21559224993076803,0.6646974337865493,1.0,1.0,1.0,PASS
FLUKA,18,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,0.38952880401441425,-0.5272056841690461,-0.7551963171407472,0.3895288040783065,-0.5272056841059835,-0.7551963171518161,1.0,1.0,1.0,PASS
FLUKA,19,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,-0.7974307018778793,0.4753875790735144,-0.37163278295270974,-0.7974307019361979,0.47538757896196443,-0.37163278297026586,1.0,1.0,1.0,PASS
FLUKA,20,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,-0.889202759729815,-0.457503082370817,0.00306295773433396,-0.8892027599372347,-0.4575030819677067,0.003062957729783798,1.0,1.0,1.0,PASS
FLUKA,21,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,0.5029788853848216,0.045661924104542555,0.8630916692588995,0.5029788852098521,0.045661924119051005,0.8630916693600978,1.0,1.0,1.0,PASS
FLUKA,22,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,-0.8474909601225759,-0.1329719984591533,-0.5138847342899899,-0.8474909602660765,-0.1329719980417476,-0.5138847341613382,1.0,1.0,1.0,PASS
FLUKA,23,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,0.6578660117509232,0.7460038361284749,0.10339529517600843,0.6578660119672264,0.7460038359628356,0.10339529499484906,1.0,1.0,1.0,PASS
FLUKA,24,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,-0.026175489840557967,-0.8686153002495796,0.4947952141077554,-0.026175489807097933,-0.86861530023554,0.4947952141341722,1.0,1.0,1.0,PASS
FLUKA,25,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,-0.5561346276404767,0.6746878784487553,0.48529428454650697,-0.5561346279347926,0.674687877920892,0.48529428494309873,1.0000000000000002,1.0,1.0,PASS
FLUKA,26,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,-0.7988991162832557,0.5770240642428982,0.1697157367082991,-0.7988991162532069,0.5770240641828848,0.16971573705379053,1.0000000000000002,1.0,1.0,PASS
FLUKA,27,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,-0.7768292392753612,-0.5573136134989304,-0.29315161472457985,-0.776829239319455,-0.5573136132291838,-0.29315161512055254,1.0,1.0,1.0,PASS
FLUKA,28,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,0.4235568223885722,-0.9044085574504097,0.05142741893741576,0.4235568218599944,-0.9044085577010501,0.0514274188830008,1.0000000000000002,1.0,1.0,PASS
FLUKA,29,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,0.23752731660381945,-0.9015689390198627,0.36159953271760203,0.23752731695764623,-0.9015689388392403,0.36159953293552277,1.0000000000000002,1.0,1.0,PASS
FLUKA,30,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,-0.5242421916565979,0.8513781513857611,0.018037955262470984,-0.524242192077444,0.8513781511257705,0.01803795530266467,1.0,1.0,1.0,PASS
FLUKA,31,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,-0.4288985187302712,-0.8792673675822545,-0.20720752142707477,-0.42889851883079816,-0.8792673676531263,-0.207207520918256,0.9999999999999999,1.0,1.0,PASS
FLUKA,32,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,0.48311039254881477,0.1528688276636967,0.8621110544123982,0.48311039304162023,0.15286882801316976,0.8621110540742714,1.0,1.0,1.0,PASS
FLUKA,33,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,-0.2716551514742013,0.850341245205409,0.4506919628527264,-0.2716551510644127,0.8503412452016261,0.45069196310686443,1.0,1.0,1.0,PASS
FLUKA,34,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,-0.11380234094056774,-0.9848874678906997,0.13055919266100235,-0.11380234098194283,-0.9848874678437267,0.130559192979284,1.0,1.0,1.0,PASS
FLUKA,35,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,-0.8302169899905752,0.47408926707985166,0.2932219575179835,-0.8302169899075922,0.4740892669472312,0.2932219579673627,0.9999999999999999,1.0,1.0,PASS
FLUKA,36,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,0.5448362609343137,-0.650260226895242,0.5294479068702274,0.5448362609059525,-0.6502602268877545,0.5294479069086088,1.0,1.0,1.0,PASS
FLUKA,37,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,-0.6846033574817715,0.08497059617971268,0.7239462968408292,-0.6846033571457297,0.08497059621808747,0.7239462971541046,1.0,1.0,1.0,PASS
FLUKA,38,mono511_gamma,gamma,7,7,511.0,511.0,0.0,0.0,-0.3629401740032949,0.48281543668946714,0.7969715705022464,-0.36294017380204163,0.4828154367366581,0.7969715705653081,1.0,1.0,1.0,PASS
