particle,window,stage,g4_events,g4_rate_s-1,g4_sigma_s-1,fluka_events,fluka_rate_s-1,fluka_sigma_s-1,fluka_over_g4,z,g4_class_counts,fluka_class_counts
n,w2_510p58_511p42,raw,94,0.06380286814254918,0.006580763377447357,126,0.08549557488544543,0.007616551173966973,1.3399957928917887,2.1551117833633584,{},{}
n,w2_510p58_511p42,active_veto_pass,8,0.005430031331280782,0.0019198059882020288,8,0.005428290468917185,0.001919190500410823,0.9996794010462575,-0.00064130069941078,{},{}
n,w2_510p58_511p42,side_compton_fov_pass,7,0.004751277414870685,0.0017958140642322419,6,0.004071217851687889,0.0016620677280575417,0.8568680580396494,-0.27792472764405823,"{""keep"": 3, ""single"": 4, ""veto"": 1}","{""keep"": 2, ""single"": 4, ""veto"": 2}"
p,broad_480_550,raw,2,0.0013565217155387527,0.0009592057038842609,0,0.0,0.0,0.0,-1.4142135623730951,{},{}
p,broad_480_550,active_veto_pass,0,0.0,0.0,0,0.0,0.0,,,{},{}
p,broad_480_550,side_compton_fov_pass,0,0.0,0.0,0,0.0,0.0,,,{},{}
p,w2_510p58_511p42,raw,0,0.0,0.0,0,0.0,0.0,,,{},{}
p,w2_510p58_511p42,active_veto_pass,0,0.0,0.0,0,0.0,0.0,,,{},{}
p,w2_510p58_511p42,side_compton_fov_pass,0,0.0,0.0,0,0.0,0.0,,,{},{}
all_prompt,broad_480_550,raw,343,0.2470420567402644,0.015652424035692822,396,0.2924489791229908,0.018092880062190835,1.1838023977855172,1.8979770764117372,{},{}
all_prompt,broad_480_550,active_veto_pass,101,0.07328549652769878,0.008689494931393498,103,0.08413842112730063,0.011594827411722951,1.1480910291096944,0.7490168580808833,{},{}
all_prompt,broad_480_550,side_compton_fov_pass,86,0.06310592861548728,0.008282456262478097,90,0.07531745421377448,0.011333784885871657,1.1935083734001226,0.8699164821069431,"{""keep"": 30, ""single"": 56, ""veto"": 15}","{""keep"": 25, ""single"": 65, ""veto"": 13}"
all_prompt,w2_510p58_511p42,raw,161,0.11877136917846545,0.011496323101246264,181,0.12756475365619793,0.010599070838898973,1.074036230604697,0.5623562500576837,{},{}
all_prompt,w2_510p58_511p42,active_veto_pass,60,0.04071230307533774,0.005255935767343601,54,0.036640909986861314,0.0049861962877263,0.89999600167688,-0.5619751358977892,{},{}
all_prompt,w2_510p58_511p42,side_compton_fov_pass,54,0.036641023029691425,0.004986211708691235,47,0.03189116133507287,0.004651803976999069,0.8703676561986389,-0.6965416248941493,"{""keep"": 17, ""single"": 37, ""veto"": 6}","{""keep"": 13, ""single"": 34, ""veto"": 7}"
