nuclide,line,window_low_keV,window_high_keV,photon_count,photon_yield_per_parent,events_with_line,event_fraction
Cu-64,Cu-64 1346 keV,1345.0,1346.5,4785,0.004785,4785,0.004785
Na-24,Na-24 1369 keV,1368.1,1369.1,999939,0.999939,999939,0.999939
Na-24,Na-24 2754 keV,2753.5,2754.5,998547,0.998547,998547,0.998547
Na-24,Na-24 1369+2754 same-parent coincidence,,,,,998547,0.998547
Al-28,Al-28 1779 keV,1778.5,1779.5,1000000,1.0,1000000,1.0
