e_low_keV,e_high_keV,photon_count
3.0,4.0,5430
27.0,28.0,41944
30.0,31.0,7550
31.0,32.0,1392
442.0,443.0,126544
526.0,527.0,12131
743.0,744.0,1131
969.0,970.0,3094
