event_id,parent_Z,parent_A,parent_isomer,particle_code,kinetic_energy_keV,time_s,dir_x,dir_y,dir_z,x_cm,y_cm,z_cm,weight,track_generation,iprod,iaztrk
23,53,128,0,7,2.72020006E+01,2.36430460E+03,-5.29575580E-03,7.31275648E-01,6.82061494E-01,-5.29575580E-03,7.31275648E-01,6.82061494E-01,1.00000000E+00,2,2,53128
24,53,128,0,3,9.00627276E+02,4.53681444E+03,-8.34254996E-01,-3.92339263E-01,3.87412576E-01,-8.34254996E-01,-3.92339263E-01,3.87412576E-01,1.00000000E+00,2,2,53128
25,53,128,0,3,7.33744418E+02,8.72904282E+02,7.06938586E-01,-4.40311618E-01,5.53501142E-01,7.06938586E-01,-4.40311618E-01,5.53501142E-01,1.00000000E+00,2,2,53128
26,53,128,0,3,2.67845662E+02,2.42575582E+01,5.63025701E-01,8.21042379E-01,-9.42946047E-02,5.63025701E-01,8.21042379E-01,-9.42946047E-02,1.00000000E+00,2,2,53128
26,53,128,0,7,4.42900986E+02,2.42575582E+01,-6.88564732E-01,3.78509751E-01,-6.18553941E-01,-6.88564732E-01,3.78509751E-01,-6.18553941E-01,1.00000000E+00,2,2,53128
27,53,128,0,3,1.20094905E+03,1.36036637E+03,9.20281315E-01,-3.84768272E-01,7.09625077E-02,9.20281315E-01,-3.84768272E-01,7.09625077E-02,1.00000000E+00,2,2,53128
28,53,128,0,3,1.26366379E+03,1.61748018E+02,-8.98477950E-01,-4.20616877E-01,1.25772878E-01,-8.98477950E-01,-4.20616877E-01,1.25772878E-01,1.00000000E+00,2,2,53128
29,53,128,0,3,3.96497598E+02,2.57298119E+03,1.24448766E-01,5.09687414E-02,-9.90916087E-01,1.24448766E-01,5.09687414E-02,-9.90916087E-01,1.00000000E+00,2,2,53128
30,53,128,0,3,6.22353395E+02,3.73727882E+02,-9.13689703E-01,3.60428471E-01,-1.87782970E-01,-9.13689703E-01,3.60428471E-01,-1.87782970E-01,1.00000000E+00,2,2,53128
31,53,128,0,3,1.69958707E+02,2.30792400E+03,6.65996243E-01,-6.86148821E-01,-2.92658162E-01,6.65996243E-01,-6.86148821E-01,-2.92658162E-01,1.00000000E+00,2,2,53128
32,53,128,0,3,5.15174477E+02,2.64743582E+03,-2.90248519E-01,5.32773869E-01,-7.94926287E-01,-2.90248519E-01,5.32773869E-01,-7.94926287E-01,1.00000000E+00,2,2,53128
