event_id,parent_Z,parent_A,parent_isomer,particle_code,kinetic_energy_keV,time_s,dir_x,dir_y,dir_z,x_cm,y_cm,z_cm,weight,track_generation,iprod,iaztrk
74,11,24,0,3,8.49607810E+02,1.21919854E+03,9.41639559E-01,-1.44789249E-01,3.03893097E-01,9.41639559E-01,-1.44789249E-01,3.03893097E-01,1.00000000E+00,2,2,11024
74,11,24,0,7,2.75400700E+03,1.21919854E+03,-8.41826192E-01,-3.49582575E-01,-4.11242856E-01,-8.41826192E-01,-3.49582575E-01,-4.11242856E-01,1.00000000E+00,2,2,11024
74,11,24,0,7,1.36862602E+03,1.21919854E+03,-7.97407631E-01,-1.19886735E-01,-5.91412074E-01,-7.97407631E-01,-1.19886735E-01,-5.91412074E-01,1.00000000E+00,2,2,11024
75,11,24,0,3,2.09158526E+02,1.78102434E+04,3.81398875E-01,3.76842529E-01,8.44111726E-01,3.81398875E-01,3.76842529E-01,8.44111726E-01,1.00000000E+00,2,2,11024
75,11,24,0,7,2.75400700E+03,1.78102434E+04,-3.99999760E-02,-1.45782942E-01,-9.88507631E-01,-3.99999760E-02,-1.45782942E-01,-9.88507631E-01,1.00000000E+00,2,2,11024
75,11,24,0,7,1.36862602E+03,1.78102434E+04,-4.78548100E-01,-6.35144726E-01,6.06286148E-01,-4.78548100E-01,-6.35144726E-01,6.06286148E-01,1.00000000E+00,2,2,11024
76,11,24,0,3,7.63485980E+02,8.93362705E+03,8.85834219E-01,-4.62825728E-01,-3.30163756E-02,8.85834219E-01,-4.62825728E-01,-3.30163756E-02,1.00000000E+00,2,2,11024
76,11,24,0,7,2.75400700E+03,8.93362705E+03,-1.85383958E-01,-9.53248969E-01,-2.38640296E-01,-1.85383958E-01,-9.53248969E-01,-2.38640296E-01,1.00000000E+00,2,2,11024
76,11,24,0,7,1.36862602E+03,8.93362705E+03,-4.96356047E-01,-3.88569259E-02,-8.67248992E-01,-4.96356047E-01,-3.88569259E-02,-8.67248992E-01,1.00000000E+00,2,2,11024
77,11,24,0,3,7.52942018E+01,2.69519741E+04,8.08270924E-01,2.17394221E-01,5.47209162E-01,8.08270924E-01,2.17394221E-01,5.47209162E-01,1.00000000E+00,2,2,11024
77,11,24,0,7,2.75400700E+03,2.69519741E+04,2.19444683E-01,9.66867920E-01,1.30424143E-01,2.19444683E-01,9.66867920E-01,1.30424143E-01,1.00000000E+00,2,2,11024
77,11,24,0,7,1.36862602E+03,2.69519741E+04,-5.89198280E-01,4.18887147E-01,-6.90926150E-01,-5.89198280E-01,4.18887147E-01,-6.90926150E-01,1.00000000E+00,2,2,11024
78,11,24,0,3,7.20917544E+02,9.53307814E+04,1.51180756E-01,-4.72435090E-01,-8.68302634E-01,1.51180756E-01,-4.72435090E-01,-8.68302634E-01,1.00000000E+00,2,2,11024
78,11,24,0,7,2.75400700E+03,9.53307814E+04,-1.60943885E-01,7.59188342E-01,-6.30658487E-01,-1.60943885E-01,7.59188342E-01,-6.30658487E-01,1.00000000E+00,2,2,11024
78,11,24,0,7,1.36862602E+03,9.53307814E+04,7.28609143E-01,5.14104042E-01,4.52576789E-01,7.28609143E-01,5.14104042E-01,4.52576789E-01,1.00000000E+00,2,2,11024
79,11,24,0,3,4.11683510E+02,7.03845806E+03,-9.43345944E-01,-3.27189865E-01,5.51835342E-02,-9.43345944E-01,-3.27189865E-01,5.51835342E-02,1.00000000E+00,2,2,11024
79,11,24,0,7,2.75400700E+03,7.03845806E+03,6.71399534E-01,-6.40567531E-01,-3.72687408E-01,6.71399534E-01,-6.40567531E-01,-3.72687408E-01,1.00000000E+00,2,2,11024
79,11,24,0,7,1.36862602E+03,7.03845806E+03,-3.25793685E-01,-2.92568830E-01,-8.99033901E-01,-3.25793685E-01,-2.92568830E-01,-8.99033901E-01,1.00000000E+00,2,2,11024
80,11,24,0,3,5.25326693E+02,1.28672816E+04,2.66170333E-01,3.13471144E-01,9.11531237E-01,2.66170333E-01,3.13471144E-01,9.11531237E-01,1.00000000E+00,2,2,11024
80,11,24,0,7,2.75400700E+03,1.28672816E+04,-1.91718170E-01,-3.55235909E-01,9.14905237E-01,-1.91718170E-01,-3.55235909E-01,9.14905237E-01,1.00000000E+00,2,2,11024
80,11,24,0,7,1.36862602E+03,1.28672816E+04,2.85567597E-01,8.13297614E-01,5.06949839E-01,2.85567597E-01,8.13297614E-01,5.06949839E-01,1.00000000E+00,2,2,11024
81,11,24,0,3,6.36716866E+02,1.12081245E+05,-2.06274238E-01,-7.01219369E-01,6.82453175E-01,-2.06274238E-01,-7.01219369E-01,6.82453175E-01,1.00000000E+00,2,2,11024
81,11,24,0,7,2.75400700E+03,1.12081245E+05,-4.04190574E-01,-9.08241569E-01,-1.08292344E-01,-4.04190574E-01,-9.08241569E-01,-1.08292344E-01,1.00000000E+00,2,2,11024
81,11,24,0,7,1.36862602E+03,1.12081245E+05,-3.20636182E-01,4.07175639E-01,8.55219526E-01,-3.20636182E-01,4.07175639E-01,8.55219526E-01,1.00000000E+00,2,2,11024
82,11,24,0,3,2.95950428E+02,5.96673152E+04,4.06282004E-01,-3.35588998E-01,8.49891144E-01,4.06282004E-01,-3.35588998E-01,8.49891144E-01,1.00000000E+00,2,2,11024
82,11,24,0,7,2.75400700E+03,5.96673152E+04,-7.45502354E-03,-1.46562458E-01,-9.89173326E-01,-7.45502354E-03,-1.46562458E-01,-9.89173326E-01,1.00000000E+00,2,2,11024
82,11,24,0,7,1.36862602E+03,5.96673152E+04,-3.31917001E-01,4.75300334E-01,-8.14813290E-01,-3.31917001E-01,4.75300334E-01,-8.14813290E-01,1.00000000E+00,2,2,11024
83,11,24,0,3,1.03340416E+03,2.60740177E+05,8.77774674E-01,-2.17050432E-01,4.27083987E-01,8.77774674E-01,-2.17050432E-01,4.27083987E-01,1.00000000E+00,2,2,11024
83,11,24,0,7,2.75400700E+03,2.60740177E+05,-6.76508721E-01,-2.81147695E-01,-6.80655511E-01,-6.76508721E-01,-2.81147695E-01,-6.80655511E-01,1.00000000E+00,2,2,11024
