nuclide,particle_code,particle,multiplicity,events,fraction
Cu-64,3,ELECTRON,0,37971,0.037971
Cu-64,3,ELECTRON,1,737019,0.737019
Cu-64,3,ELECTRON,2,225010,0.22501
Cu-64,4,POSITRON,0,823517,0.823517
Cu-64,4,POSITRON,1,176483,0.176483
Cu-64,7,PHOTON,0,906389,0.906389
Cu-64,7,PHOTON,1,45666,0.045666
Cu-64,7,PHOTON,2,36577,0.036577
Cu-64,7,PHOTON,3,5531,0.005531
Cu-64,7,PHOTON,4,921,0.000921
Cu-64,7,PHOTON,5,131,0.000131
Cu-64,7,PHOTON,6,4785,0.004785
