nuclide,particle_code,particle,count,yield_per_parent,mean_kinetic_energy_keV
Cu-64,3,ELECTRON,1187039,1.187039,63.5543790869386
Cu-64,4,POSITRON,176483,0.176483,278.5646996578988
Cu-64,7,PHOTON,168462,0.168462,45.373009669274744
Na-24,7,PHOTON,1998486,1.998486,2060.834032151887
Na-24,3,ELECTRON,998547,0.998547,555.5054595593317
Al-28,7,PHOTON,1000000,1.0,1778.8499800440034
Al-28,3,ELECTRON,999911,0.999911,1241.9487985861867
I-128,3,ELECTRON,993959,0.993959,752.6271657001746
I-128,7,PHOTON,199216,0.199216,339.93910940050336
