code,band,band_label,stage,stage_label,prompt_events,prompt_rate_s-1,delayed_events,delayed_rate_s-1,delayed_fraction,delayed_over_prompt
TES_511_BALLOON,all_tes_gt0,all TES > 0,raw,raw,7270,5.176611083332601,2217,0.19030753783267196,0.035459367146385416,0.0367629583851518
TES_511_BALLOON,all_tes_gt0,all TES > 0,active_veto_pass,active-veto,3112,2.2736774782539038,1491,0.127987613400322,0.05329119944536743,0.05629101516131106
TES_511_BALLOON,all_tes_gt0,all TES > 0,side_compton_fov_pass,final,2878,2.1006060125397816,1320,0.11330895351336355,0.051180354824270864,0.053941078354034125
TES_511_BALLOON,e100_300,100-300 keV,raw,raw,1236,0.9101350072344477,720,0.06180488373456194,0.06358920372425848,0.0679073799417554
TES_511_BALLOON,e100_300,100-300 keV,active_veto_pass,active-veto,235,0.20697190719724234,524,0.04498022094015341,0.17852685457621764,0.21732524741769746
TES_511_BALLOON,e100_300,100-300 keV,side_compton_fov_pass,final,210,0.1900038053586786,496,0.04257669768380933,0.18306219621526656,0.22408339455852166
TES_511_BALLOON,e300_480,300-480 keV,raw,raw,806,0.5945262408134107,220,0.018884825585560587,0.03078657464793377,0.0317644946331099
TES_511_BALLOON,e300_480,300-480 keV,active_veto_pass,active-veto,173,0.14589783422367697,69,0.005922968024562181,0.03901288846358258,0.04059668230223101
TES_511_BALLOON,e300_480,300-480 keV,side_compton_fov_pass,final,141,0.12417870366080544,63,0.005407927326774165,0.04173213923041563,0.04354955533716906
TES_511_BALLOON,e480_550,480-550 keV,raw,raw,343,0.24704205674026264,86,0.007382250001628227,0.029015506011056538,0.029882563718249176
TES_511_BALLOON,e480_550,480-550 keV,active_veto_pass,active-veto,101,0.07328549652769867,43,0.0036911250008141113,0.04795124711269496,0.05036637773777011
TES_511_BALLOON,e480_550,480-550 keV,side_compton_fov_pass,final,86,0.06310592861548728,37,0.003176084303026095,0.04791774062339884,0.05032941235011998
TES_511_BALLOON,w2_510p58_511p42,W2 510.58-511.42 keV,raw,raw,161,0.11877136917846487,54,0.004635366280092141,0.037561695987402645,0.039027640349309084
TES_511_BALLOON,w2_510p58_511p42,W2 510.58-511.42 keV,active_veto_pass,active-veto,60,0.040712303075337755,33,0.0028327238378340843,0.06505275202797543,0.06957906145943535
TES_511_BALLOON,w2_510p58_511p42,W2 510.58-511.42 keV,side_compton_fov_pass,final,54,0.036641023029691425,30,0.0025752034889400762,0.06566678432756924,0.07028197566572593
TES_511_BALLOON,e550_800,550-800 keV,raw,raw,365,0.29048213914650933,73,0.006266328489754192,0.021116633018085477,0.021572164499221304
TES_511_BALLOON,e550_800,550-800 keV,active_veto_pass,active-veto,56,0.07600228332089487,27,0.002317683140046068,0.029592494031543324,0.030494914610136203
TES_511_BALLOON,e550_800,550-800 keV,side_compton_fov_pass,final,31,0.05428442741040136,22,0.0018884825585560548,0.03361909788187364,0.03478866129099495
TES_511_BALLOON,e800_1500,800-1500 keV,raw,raw,540,0.40926365754995875,125,0.010730014537250332,0.02554803857859628,0.026217853306313967
TES_511_BALLOON,e800_1500,800-1500 keV,active_veto_pass,active-veto,91,0.09500904827882314,102,0.00875569186239627,0.08438022251566518,0.09215640005887579
TES_511_BALLOON,e800_1500,800-1500 keV,side_compton_fov_pass,final,50,0.057682614764167806,61,0.0052362470941781595,0.08322221571596324,0.09077686778912966
TES_511_BALLOON,e1500_3000,1500-3000 keV,raw,raw,564,0.39231627877099784,713,0.06120400292047592,0.13495317715936797,0.15600678899231152
TES_511_BALLOON,e1500_3000,1500-3000 keV,active_veto_pass,active-veto,114,0.08687567649280309,559,0.0479846250105835,0.35580986009718,0.5523367062880785
TES_511_BALLOON,e1500_3000,1500-3000 keV,side_compton_fov_pass,final,53,0.04547168759178735,506,0.04343509884678936,0.48854649444334025,0.9552119383982173
TES_511_BALLOON,e3000_10000,3000-10000 keV,raw,raw,282,0.19616085589255786,85,0.007296409885330224,0.03586212494025959,0.037196054493800985
TES_511_BALLOON,e3000_10000,3000-10000 keV,active_veto_pass,active-veto,60,0.04072523498460587,78,0.006695529071244205,0.14119403608424588,0.1644073772385872
TES_511_BALLOON,e3000_10000,3000-10000 keV,side_compton_fov_pass,final,35,0.023756387074353423,48,0.004120325582304124,0.14780528942031132,0.17344074961433364
FLUKA,all_tes_gt0,all TES > 0,raw,raw,6779,4.77078632932914,1460,0.13240281327689737,0.02700340725720515,0.027752828179063646
FLUKA,all_tes_gt0,all TES > 0,active_veto_pass,active-veto,2577,1.8578320309360024,666,0.07281148671920441,0.037713584125377515,0.03919164138994898
FLUKA,all_tes_gt0,all TES > 0,side_compton_fov_pass,final,2429,1.7574086730978025,589,0.0649126291448093,0.03562084746796604,0.036936559002174005
FLUKA,e100_300,100-300 keV,raw,raw,1217,0.8827747919245448,435,0.03300120450993804,0.036036328358055016,0.037383492156580315
FLUKA,e100_300,100-300 keV,active_veto_pass,active-veto,213,0.17777637311144892,190,0.020022636110769536,0.10122718101320208,0.1126282180265723
FLUKA,e100_300,100-300 keV,side_compton_fov_pass,final,201,0.16963393850977604,168,0.01910341056882167,0.10121690625667448,0.11261549862394274
FLUKA,e300_480,300-480 keV,raw,raw,799,0.5848977967222999,199,0.02413270146699112,0.03962478322307351,0.04125968947434579
FLUKA,e300_480,300-480 keV,active_veto_pass,active-veto,142,0.13909981549406075,61,0.010077521771654732,0.06755397271707965,0.07244813183871562
FLUKA,e300_480,300-480 keV,side_compton_fov_pass,final,126,0.12824324667495743,53,0.009095430675286217,0.06622628709384526,0.07092327207170059
FLUKA,e480_550,480-550 keV,raw,raw,396,0.2924489791229902,75,0.01770333094563126,0.057079474731993395,0.06053476746173245
FLUKA,e480_550,480-550 keV,active_veto_pass,active-veto,103,0.08413842112730044,21,0.009037724671787432,0.09699612056582732,0.10741495443696834
FLUKA,e480_550,480-550 keV,side_compton_fov_pass,final,90,0.07531745421377434,18,0.007001384140622803,0.08505202795113079,0.09295832172912667
FLUKA,w2_510p58_511p42,W2 510.58-511.42 keV,raw,raw,181,0.12756475365619752,20,0.012227335974062713,0.08746801057486954,0.09585199378048317
FLUKA,w2_510p58_511p42,W2 510.58-511.42 keV,active_veto_pass,active-veto,54,0.03664090998686131,12,0.008145362110728156,0.1818718488776958,0.22230239679224448
FLUKA,w2_510p58_511p42,W2 510.58-511.42 keV,side_compton_fov_pass,final,47,0.03189116133507287,10,0.006787801757281753,0.1754907891681162,0.21284272736147578
FLUKA,e550_800,550-800 keV,raw,raw,382,0.26395031282245407,184,0.004748969223534048,0.017673918543337445,0.017991906024860206
FLUKA,e550_800,550-800 keV,active_veto_pass,active-veto,35,0.028498523851793422,50,0.0009914580735918292,0.03362016552266425,0.03478980450874954
FLUKA,e550_800,550-800 keV,side_compton_fov_pass,final,23,0.020356088148417644,46,0.000982163398680185,0.04602829789087228,0.04824912289233393
