dimension,key,metric,metric_label,stage,source_histories,source_fraction,fluka_sum_w,megalib_sum_w,fluka_contribution_per_parent,megalib_contribution_per_parent,contribution_difference_per_parent,difference_share_of_total,z_contribution_difference,fluka_conditional_efficiency,megalib_conditional_efficiency,fluka_over_megalib_conditional
source_volume,DR_Capillary_CuNi_Still_4K,w2_expected,W2 analytic Gaussian expectation,active_veto,16721,0.016721,1.994599209076688,0.997299275319014,1.994599209076688e-06,9.97299275319014e-07,9.972999337576742e-07,0.010034209804303704,0.5773505233090281,0.00011928707667464195,5.964351864834723e-05,2.0000006602217373
source_volume,Cu_ColdFinger_Stem_YP_ZM_to_MXC,w2_expected,W2 analytic Gaussian expectation,active_veto,419,0.000419,1.994599209076688,0.9972993529946164,1.994599209076688e-06,9.972993529946163e-07,9.972998560820719e-07,0.010034209022780249,0.5773504633524063,0.004760379973930043,0.002380189386621996,2.000000504449796
source_volume,DR_Capillary_CuNi_MXC_CP,w2_expected,W2 analytic Gaussian expectation,active_veto,1835,0.001835,1.994599209076688,0.9972993979716356,1.994599209076688e-06,9.972993979716355e-07,9.972998111050526e-07,0.010034208570249538,0.5773504286353268,0.0010869750458183587,0.0005434874103387659,2.0000004142521473
source_volume,DR_4K_Condenser_Cu,w2_expected,W2 analytic Gaussian expectation,active_veto,17828,0.017828,0.997299604538344,0.0,9.97299604538344e-07,0.0,9.97299604538344e-07,0.010034206491904176,1.0,5.5940072051735695e-05,0.0,
source_volume,Cu_MXC_Clamp_Pad_YM_ZP_for_OffAxisStem,w2_expected,W2 analytic Gaussian expectation,active_veto,156,0.000156,0.997299604538344,0.0,9.97299604538344e-07,0.0,9.97299604538344e-07,0.010034206491904176,1.0,0.006392946182938102,0.0,
source_volume,Cu_SubstrateSupport_OpenRing_L3_YM_panel,w2_expected,W2 analytic Gaussian expectation,active_veto,153,0.000153,0.997299604538344,1.9945987735320403,9.97299604538344e-07,1.9945987735320405e-06,-9.972991689936964e-07,-0.01003420210972563,-0.5773501010944618,0.006518298068878065,0.013036593291059087,0.5000001091810176
source_volume,Cu_ColdFinger_OffAxis_YP_ZP_from_Disk_to_Stem,w2_expected,W2 analytic Gaussian expectation,active_veto,145,0.000145,0.9986795607543084,1.9945987794583007,9.986795607543085e-07,1.9945987794583006e-06,-9.95919218703992e-07,-0.01002031791074225,-0.576551043916759,0.006887445246581437,0.013755853651436556,0.5006919542112289
source_volume,Cu_SubstrateSupport_OpenRing_L2_YP_panel,w2_expected,W2 analytic Gaussian expectation,active_veto,137,0.000137,2.9946587260469606,2.9918981277817087,2.9946587260469607e-06,2.9918981277817087e-06,2.7605982652519722e-09,2.7775417646488923e-05,0.0011300609033238868,0.021858822817861025,0.021838672465559917,1.00092269126399
source_volume,Cu_MXC_Clamp_Pad_YP_ZP_for_OffAxisStem,w2_expected,W2 analytic Gaussian expectation,active_veto,141,0.000141,0.997299604538344,0.99729938311499,9.97299604538344e-07,9.9729938311499e-07,2.214233541155818e-13,2.227823662232631e-09,1.5699391825361678e-07,0.007073046840697475,0.007073045270319078,1.000000222022953
source_volume,ColdPlate_MXC_50mK_SD_anchor,w2_expected,W2 analytic Gaussian expectation,raw,84445,0.084445,436.8186067440095,226.2097555307682,0.00043681860674400953,0.0002262097555307682,0.00021060885121324132,0.8075364313174221,8.191169994003918,0.005172817890271887,0.002678782112982038,1.9310334592735772
