dimension,key,metric,metric_label,stage,source_histories,source_fraction,fluka_sum_w,megalib_sum_w,fluka_contribution_per_parent,megalib_contribution_per_parent,contribution_difference_per_parent,difference_share_of_total,z_contribution_difference,fluka_conditional_efficiency,megalib_conditional_efficiency,fluka_over_megalib_conditional
source_volume,ColdPlate_Still_0p7K,w2_510p58_511p42,W2 510.58-511.42 keV,active_veto,188826,0.188826,31.0,22.0,3.1e-05,2.2e-05,9.000000000000002e-06,0.09090909090909094,1.2362450755382015,0.00016417230677978669,0.0001165093790050099,1.4090909090909092
source_volume,ColdPlate_CP_100mK_intercept,w2_510p58_511p42,W2 510.58-511.42 keV,active_veto,95876,0.095876,49.0,40.0,4.9e-05,4e-05,8.999999999999995e-06,0.09090909090909087,0.9539980920057235,0.0005110768075430765,0.00041720555717802163,1.225
source_volume,Cu_SubstrateSupport_OpenRing_L3_ZP_panel,w2_510p58_511p42,W2 510.58-511.42 keV,active_veto,407,0.000407,3.0,11.0,3e-06,1.1e-05,-8e-06,-0.08080808080808081,-2.1380899352993947,0.007371007371007371,0.02702702702702703,0.2727272727272727
source_volume,ColdPlate_MXC_50mK_SD_anchor,w2_expected,W2 analytic Gaussian expectation,raw,84445,0.084445,436.8186067440095,226.2097555307682,0.00043681860674400953,0.0002262097555307682,0.00021060885121324132,0.8075364313174221,8.191169994003918,0.005172817890271887,0.002678782112982038,1.9310334592735772
source_volume,Cu_SubstrateSupport_SolidDisk_L0_deepest,w2_expected,W2 analytic Gaussian expectation,raw,4708,0.004708,73.81673021042891,163.55710038103143,7.381673021042892e-05,0.00016355710038103144,-8.974037017060252e-05,-0.34409103822183795,-5.832755527493447,0.015678999619887196,0.034740250718146015,0.45132085393089927
source_volume,Cu_50mK_StillLike_Can_side_wall_above_side_port,w2_expected,W2 analytic Gaussian expectation,raw,26299,0.026299,131.64354779906114,76.79205349588993,0.00013164354779906113,7.679205349588993e-05,5.4851494303171196e-05,0.21031680153443574,3.8044309577328415,0.005005648420056319,0.002919960967941364,1.7142860726612419
source_volume,ColdPlate_CP_100mK_intercept,w2_expected,W2 analytic Gaussian expectation,raw,95876,0.095876,88.2248715480259,41.886574513419326,8.82248715480259e-05,4.1886574513419326e-05,4.6338297034606576e-05,0.17767469318165216,4.071775492502371,0.0009201976672788383,0.00043688279145374573,2.106280414975472
source_volume,Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,w2_expected,W2 analytic Gaussian expectation,raw,31280,0.03128,149.52375282372273,106.79959315581334,0.00014952375282372272,0.00010679959315581334,4.272415966790938e-05,0.16381702492801084,2.6729646230988804,0.004780171126078092,0.0034143092441116796,1.400040472116572
source_volume,ColdPlate_Still_0p7K,w2_expected,W2 analytic Gaussian expectation,raw,188826,0.188826,46.87308141330214,21.940586688486107,4.6873081413302135e-05,2.1940586688486106e-05,2.493249472481603e-05,0.09559853585418797,3.0096470854727277,0.00024823425488705017,0.00011619473318550468,2.1363640853733417
source_volume,Cu_50mK_StillLike_Can_bottom_cap_2mm,w2_expected,W2 analytic Gaussian expectation,raw,26982,0.026982,89.75696440845081,113.69213274584645,8.975696440845082e-05,0.00011369213274584646,-2.393516833739564e-05,-0.0917744924338062,-1.6803347274330678,0.0033265497149377664,0.004213628817205784,0.7894738381687182
source_volume,DR_MixingChamber_Cu,w2_expected,W2 analytic Gaussian expectation,raw,14457,0.014457,38.89468457699541,16.954089569239688,3.889468457699541e-05,1.6954089569239687e-05,2.1940595007755723e-05,0.08412671020936634,2.939874353053042,0.0026903703795390058,0.0011727252935767923,2.2941181487894933
source_volume,DR_Continuous_HEX_CuNi_MXC_to_CP,w2_expected,W2 analytic Gaussian expectation,raw,9197,0.009197,29.918988136150332,11.967592735307804,2.991898813615033e-05,1.1967592735307804e-05,1.7951395400842525e-05,0.06883094274364925,2.7774608561264835,0.0032531247293846183,0.0013012496178436233,2.5000005262445812
source_volume,Cu_SubstrateSupport_OpenRing_L4_ZM_panel,w2_expected,W2 analytic Gaussian expectation,raw,277,0.000277,1.994599209076688,15.956790251883149,1.994599209076688e-06,1.595679025188315e-05,-1.396219104280646e-05,-0.05353515706072628,-3.2998314658800587,0.007200719166341834,0.05760574098152761,0.12500002679682365
source_volume,DR_Continuous_HEX_CuNi_CP_to_Still,w2_expected,W2 analytic Gaussian expectation,raw,13913,0.013913,16.954093277151852,3.9891975605444294,1.6954093277151852e-05,3.989197560544429e-06,1.2964895716607422e-05,0.04971123273822524,2.8368328768859956,0.0012185792623554841,0.0002867244706781017,4.250000913676992
source_volume,Cu_SubstrateSupport_OpenRing_L3_ZP_panel,w2_expected,W2 analytic Gaussian expectation,raw,407,0.000407,4.989501906431377,16.954089389177195,4.989501906431377e-06,1.6954089389177196e-05,-1.196458748274582e-05,-0.04587575603942235,-2.5577655267099395,0.012259218443320336,0.041656239285447656,0.29429489204041076
source_volume,ColdPlate_MXC_50mK_SD_anchor,w2_expected,W2 analytic Gaussian expectation,active_veto,84445,0.084445,238.35460548466364,186.31777913533153,0.00023835460548466363,0.00018631777913533153,5.20368263493321e-05,0.5235620854520082,2.528980679637917,0.0028226017583594487,0.0022063802372589442,1.2792907182064213
source_volume,Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,w2_expected,W2 analytic Gaussian expectation,active_veto,31280,0.03128,67.81637310860731,24.932485019831656,6.781637310860731e-05,2.4932485019831655e-05,4.288388808877566e-05,0.4314709304007756,4.458893061831125,0.002168042618561615,0.0007970743292785057,2.720000555687297
source_volume,Cu_SubstrateSupport_SolidDisk_L0_deepest,w2_expected,W2 analytic Gaussian expectation,active_veto,4708,0.004708,40.89894347958384,80.78125067624596,4.089894347958384e-05,8.078125067624597e-05,-3.9882307196662126e-05,-0.4012708958910225,-3.620551672070527,0.008687116287082379,0.017158294536160995,0.5062925262632797
source_volume,Cu_50mK_StillLike_Can_side_wall_above_side_port,w2_expected,W2 analytic Gaussian expectation,active_veto,26299,0.026299,54.85147824960887,21.940586750974166,5.485147824960887e-05,2.1940586750974166e-05,3.29108914986347e-05,0.33112886000072356,3.760699765732976,0.0020856868416901353,0.0008342745637086645,2.5000005183167424
source_volume,DR_MixingChamber_Cu,w2_expected,W2 analytic Gaussian expectation,active_veto,14457,0.014457,34.905486158842045,14.959490912490619,3.4905486158842044e-05,1.4959490912490619e-05,1.9945995246351423e-05,0.20068416158760669,2.8284277512117835,0.0024144349559965445,0.0010347576200104183,2.3333338255312728
source_volume,Cu_50mK_StillLike_Can_bottom_cap_2mm,w2_expected,W2 analytic Gaussian expectation,active_veto,26982,0.026982,23.935190508920265,39.891976557430546,2.3935190508920265e-05,3.9891976557430544e-05,-1.595678604851028e-05,-0.16054722716149616,-1.9999992833048663,0.0008870799239834061,0.0014784662574097748,0.6000001146712279
source_volume,DR_Continuous_HEX_CuNi_CP_to_Still,w2_expected,W2 analytic Gaussian expectation,active_veto,13913,0.013913,14.959494068075163,3.9891975605444294,1.4959494068075162e-05,3.989197560544429e-06,1.0970296507530732e-05,0.11037628003967218,2.5235733840736443,0.0010752169961960154,0.0002867244706781017,3.750000806185581
source_volume,DR_Still_Pot_Cu,w2_expected,W2 analytic Gaussian expectation,active_veto,28450,0.02845,10.970295649921784,0.9972994272778466,1.0970295649921784e-05,9.972994272778466e-07,9.972996222643938e-06,0.10034206670252631,2.8867514400150913,0.0003855991441097288,3.505446141574153e-05,11.000001955145484
source_volume,Cu_SubstrateSupport_OpenRing_L2_ZP_panel,w2_expected,W2 analytic Gaussian expectation,active_veto,298,0.000298,2.991898813615032,12.964892066051073,2.9918988136150322e-06,1.2964892066051074e-05,-9.97299325243604e-06,-0.1003420368181473,-2.4999997374521428,0.01003992890474843,0.043506349214936485,0.2307692804824347
source_volume,ColdPlate_CP_100mK_intercept,w2_expected,W2 analytic Gaussian expectation,active_veto,95876,0.095876,49.33018697103059,39.89197580797286,4.9330186971030594e-05,3.9891975807972865e-05,9.43821116305773e-06,0.09496139303911168,1.0019475053124574,0.00051452070352362,0.0004160788498474369,1.2365942265805594
source_volume,ColdPlate_Still_0p7K,w2_expected,W2 analytic Gaussian expectation,active_veto,188826,0.188826,30.916287740688677,21.940586688486107,3.091628774068868e-05,2.1940586688486106e-05,8.975701052202572e-06,0.09030790482373988,1.2362458185249392,0.00016372897662762903,0.00011619473318550468,1.4090912052462483
source_volume,Cu_SubstrateSupport_OpenRing_L3_ZP_panel,w2_expected,W2 analytic Gaussian expectation,active_veto,407,0.000407,2.991898813615032,10.970293105863014,2.9918988136150322e-06,1.0970293105863014e-05,-7.978394292247981e-06,-0.08027362633850108,-2.1380896431124627,0.0073511027361548706,0.02695403711514254,0.2727273359739156
source_volume,ColdPlate_MXC_50mK_SD_anchor,e480_550,480-550 keV,raw,84445,0.084445,488.0,241.0,0.000488,0.000241,0.000247,0.6206030150753769,9.148148148148149,0.005778909349280597,0.002853928592575049,2.024896265560166
source_volume,Cu_50mK_StillLike_Can_side_wall_above_side_port,e480_550,480-550 keV,raw,26299,0.026299,146.0,79.0,0.000146,7.9e-05,6.7e-05,0.16834170854271358,4.466666666666667,0.005551541883721815,0.0030039164987261872,1.8481012658227849
source_volume,ColdPlate_CP_100mK_intercept,e480_550,480-550 keV,raw,95876,0.095876,101.0,47.0,0.000101,4.7e-05,5.4000000000000005e-05,0.135678391959799,4.438772657244647,0.0010534440318745045,0.0004902165296841753,2.148936170212766
source_volume,Cu_SubstrateSupport_SolidDisk_L0_deepest,e480_550,480-550 keV,raw,4708,0.004708,128.0,173.0,0.000128,0.000173,-4.500000000000001e-05,-0.11306532663316585,-2.593756879669058,0.027187765505522515,0.036745964316057776,0.7398843930635838
source_volume,Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,e480_550,480-550 keV,raw,31280,0.03128,159.0,119.0,0.000159,0.000119,3.999999999999998e-05,0.10050251256281402,2.399040575616268,0.005083120204603581,0.0038043478260869567,1.3361344537815125
source_volume,Cu_50mK_StillLike_Can_bottom_cap_2mm,e480_550,480-550 keV,raw,26982,0.026982,98.0,122.0,9.8e-05,0.000122,-2.4e-05,-0.06030150753768844,-1.6180796699117812,0.003632050996960937,0.004521532873767697,0.8032786885245902
source_volume,ColdPlate_Still_0p7K,e480_550,480-550 keV,raw,188826,0.188826,49.0,26.0,4.9e-05,2.6e-05,2.3e-05,0.057788944723618084,2.6558112382722783,0.0002594981623293402,0.00013769290246046624,1.8846153846153846
source_volume,DR_MixingChamber_Cu,e480_550,480-550 keV,raw,14457,0.014457,42.0,19.0,4.2e-05,1.9e-05,2.2999999999999997e-05,0.05778894472361808,2.9448482384566073,0.0029051670471052084,0.0013142422355952134,2.2105263157894735
source_volume,DR_Continuous_HEX_CuNi_MXC_to_CP,e480_550,480-550 keV,raw,9197,0.009197,33.0,12.0,3.3e-05,1.2e-05,2.1000000000000002e-05,0.052763819095477386,3.1304951684997055,0.003588126563009677,0.0013047732956398825,2.75
source_volume,Cu_SubstrateSupport_OpenRing_L4_ZM_panel,e480_550,480-550 keV,raw,277,0.000277,2.0,16.0,2e-06,1.6e-05,-1.4e-05,-0.035175879396984924,-3.299831645537222,0.007220216606498195,0.05776173285198556,0.125
source_volume,DR_Still_Pot_Cu,e480_550,480-550 keV,raw,28450,0.02845,15.0,2.0,1.5e-05,2e-06,1.3000000000000001e-05,0.032663316582914576,3.1529631254723287,0.0005272407732864675,7.0298769771529e-05,7.5
source_volume,DR_Continuous_HEX_CuNi_CP_to_Still,e480_550,480-550 keV,raw,13913,0.013913,18.0,5.0,1.8e-05,5e-06,1.3000000000000001e-05,0.032663316582914576,2.710687382741972,0.0012937540429813843,0.0003593761230503845,3.6
source_volume,ColdPlate_MXC_50mK_SD_anchor,e480_550,480-550 keV,active_veto,84445,0.084445,268.0,199.0,0.000268,0.000199,6.9e-05,0.3988439306358381,3.1929392123409577,0.003173663331162295,0.002356563443661555,1.3467336683417084
source_volume,Cu_50mK_StillLike_Can_side_wall_rectcut_window_band,e480_550,480-550 keV,active_veto,31280,0.03128,71.0,28.0,7.1e-05,2.8e-05,4.3e-05,0.2485549132947977,4.321662605614612,0.0022698209718670075,0.0008951406649616369,2.5357142857142856
source_volume,Cu_50mK_StillLike_Can_side_wall_above_side_port,e480_550,480-550 keV,active_veto,26299,0.026299,62.0,23.0,6.2e-05,2.3e-05,3.9e-05,0.2254335260115607,4.2301439274637955,0.002357504087607894,0.0008745579679835735,2.6956521739130435
source_volume,DR_MixingChamber_Cu,e480_550,480-550 keV,active_veto,14457,0.014457,38.0,17.0,3.8e-05,1.7e-05,2.1000000000000002e-05,0.12138728323699423,2.831639422345617,0.002628484471190427,0.0011759009476378225,2.235294117647059
source_volume,Cu_SubstrateSupport_SolidDisk_L0_deepest,e480_550,480-550 keV,active_veto,4708,0.004708,69.0,87.0,6.9e-05,8.7e-05,-1.8000000000000004e-05,-0.10404624277456649,-1.4411533842457844,0.01465590484282073,0.018479184367034836,0.793103448275862
source_volume,Cu_50mK_StillLike_Can_bottom_cap_2mm,e480_550,480-550 keV,active_veto,26982,0.026982,28.0,44.0,2.8e-05,4.4e-05,-1.6e-05,-0.09248554913294797,-1.8856180831641267,0.0010377288562745533,0.0016307167741457268,0.6363636363636364
source_volume,ColdPlate_CP_100mK_intercept,e480_550,480-550 keV,active_veto,95876,0.095876,60.0,45.0,6e-05,4.5e-05,1.4999999999999999e-05,0.08670520231213871,1.4638501094227998,0.0006258083357670324,0.0004693562518252743,1.3333333333333333
source_volume,DR_Still_Pot_Cu,e480_550,480-550 keV,active_veto,28450,0.02845,13.0,2.0,1.3e-05,2e-06,1.1e-05,0.06358381502890173,2.8401877872187726,0.0004569420035149385,7.0298769771529e-05,6.5
source_volume,DR_Continuous_HEX_CuNi_CP_to_Still,e480_550,480-550 keV,active_veto,13913,0.013913,15.0,5.0,1.5e-05,5e-06,9.999999999999999e-06,0.05780346820809248,2.2360679774997894,0.0010781283691511537,0.0003593761230503845,3.0000000000000004
