code,metric,stage,carrier_group,local_secondary,parent,creator_step_process,histories_with_hit,hit_rows,deposit_keV_sum
megalib,e480_550,raw,gamma|parent=e-|creator=eIoni|step=phot,gamma,e-,eIoni->phot,120,132,288.07373000000007
megalib,e480_550,raw,gamma|parent=gamma|creator=compt|step=phot,gamma,gamma,compt->phot,31,35,185.16661000000002
megalib,e480_550,raw,e+|parent=Cu64|creator=RadioactiveDecay|step=msc,e+,Cu64,RadioactiveDecay->msc,2,24,123.46509866
megalib,e480_550,raw,e+|parent=Cu64|creator=RadioactiveDecay|step=eIoni,e+,Cu64,RadioactiveDecay->eIoni,1,1,89.78106
megalib,e480_550,raw,e-|parent=e-|creator=eIoni|step=msc,e-,e-,eIoni->msc,2,13,34.064161999999996
megalib,e480_550,raw,gamma|parent=e-|creator=eBrem|step=compt,gamma,e-,eBrem->compt,5,6,10.988330000000001
megalib,e480_550,raw,gamma|parent=gamma|creator=phot|step=compt,gamma,gamma,phot->compt,18,18,10.332009999999999
megalib,e480_550,raw,gamma|parent=Ni64[1345.750]|creator=RadioactiveDecay|step=phot,gamma,Ni64[1345.750],RadioactiveDecay->phot,1,1,9.8792
megalib,e480_550,raw,gamma|parent=e+|creator=eBrem|step=phot,gamma,e+,eBrem->phot,1,1,9.8792
megalib,e480_550,raw,e-|parent=gamma|creator=phot|step=Transportation,e-,gamma,phot->Transportation,45,103,6.4234568381199955
megalib,e480_550,raw,e-|parent=gamma|creator=compt|step=Transportation,e-,gamma,compt->Transportation,8,17,1.7269396156
megalib,e480_550,raw,gamma|parent=gamma|creator=compt|step=compt,gamma,gamma,compt->compt,1,1,0.39736
megalib,e480_550,raw,e+|parent=Cu64|creator=RadioactiveDecay|step=Transportation,e+,Cu64,RadioactiveDecay->Transportation,1,1,0.006888142
fluka,w2_510p58_511p42,active_veto,EM_BELOW_THRESHOLD,EM_BELOW_THRESHOLD,,icode_20,662,940,334233.0412120106
fluka,w2_510p58_511p42,active_veto,ELECTRON,ELECTRON,,icode_2,15,17,4048.3365047000007
megalib,w2_510p58_511p42,active_veto,e-|parent=gamma|creator=phot|step=eIoni,e-,gamma,phot->eIoni,563,1839,181049.99458119046
megalib,w2_510p58_511p42,active_veto,e-|parent=gamma|creator=compt|step=eIoni,e-,gamma,compt->eIoni,267,423,52571.9753053
megalib,w2_510p58_511p42,active_veto,e-|parent=gamma|creator=phot|step=msc,e-,gamma,phot->msc,119,1982,17386.40349196068
megalib,w2_510p58_511p42,active_veto,e-|parent=gamma|creator=phot|step=eBrem,e-,gamma,phot->eBrem,130,149,11735.651707609994
megalib,w2_510p58_511p42,active_veto,e-|parent=e-|creator=eIoni|step=eIoni,e-,e-,eIoni->eIoni,97,104,8269.566964
megalib,w2_510p58_511p42,active_veto,gamma|parent=e+|creator=annihil|step=phot,gamma,e+,annihil->phot,563,563,4587.084469999987
megalib,w2_510p58_511p42,active_veto,gamma|parent=gamma|creator=phot|step=phot,gamma,gamma,phot->phot,481,689,4246.728139999973
megalib,w2_510p58_511p42,active_veto,e-|parent=gamma|creator=compt|step=msc,e-,gamma,compt->msc,30,513,3266.612755684997
megalib,w2_510p58_511p42,active_veto,e-|parent=gamma|creator=compt|step=eBrem,e-,gamma,compt->eBrem,31,34,2295.1829817000003
megalib,w2_510p58_511p42,active_veto,gamma|parent=e-|creator=eBrem|step=phot,gamma,e-,eBrem->phot,161,185,1025.6854399999982
megalib,w2_510p58_511p42,active_veto,gamma|parent=e+|creator=annihil|step=compt,gamma,e+,annihil->compt,262,359,614.01138
megalib,w2_510p58_511p42,active_veto,e-|parent=e-|creator=eIoni|step=eBrem,e-,e-,eIoni->eBrem,7,7,289.925634
megalib,w2_510p58_511p42,active_veto,gamma|parent=e-|creator=eIoni|step=phot,gamma,e-,eIoni->phot,64,71,156.25069000000008
megalib,w2_510p58_511p42,active_veto,gamma|parent=gamma|creator=compt|step=phot,gamma,gamma,compt->phot,23,27,138.48875000000004
megalib,w2_510p58_511p42,active_veto,e-|parent=e-|creator=eIoni|step=msc,e-,e-,eIoni->msc,2,13,34.064161999999996
megalib,w2_510p58_511p42,active_veto,gamma|parent=e-|creator=eBrem|step=compt,gamma,e-,eBrem->compt,4,5,10.757610000000001
megalib,w2_510p58_511p42,active_veto,e-|parent=gamma|creator=phot|step=Transportation,e-,gamma,phot->Transportation,23,59,6.314290061819996
megalib,w2_510p58_511p42,active_veto,gamma|parent=gamma|creator=phot|step=compt,gamma,gamma,phot->compt,11,11,5.68073
megalib,w2_510p58_511p42,active_veto,e-|parent=gamma|creator=compt|step=Transportation,e-,gamma,compt->Transportation,7,15,1.7161218706
fluka,w2_510p58_511p42,raw,EM_BELOW_THRESHOLD,EM_BELOW_THRESHOLD,,icode_20,1269,1846,640734.9538560165
fluka,w2_510p58_511p42,raw,ELECTRON,ELECTRON,,icode_2,31,34,7722.635487800001
megalib,w2_510p58_511p42,raw,e-|parent=gamma|creator=phot|step=eIoni,e-,gamma,phot->eIoni,1008,3236,319499.3154653704
megalib,w2_510p58_511p42,raw,e-|parent=gamma|creator=compt|step=eIoni,e-,gamma,compt->eIoni,480,742,95191.07818240002
megalib,w2_510p58_511p42,raw,e-|parent=gamma|creator=phot|step=msc,e-,gamma,phot->msc,216,3646,33219.11216615274
megalib,w2_510p58_511p42,raw,e-|parent=gamma|creator=phot|step=eBrem,e-,gamma,phot->eBrem,231,268,23417.58933231001
megalib,w2_510p58_511p42,raw,e-|parent=e-|creator=eIoni|step=eIoni,e-,e-,eIoni->eIoni,174,184,14222.039484000004
megalib,w2_510p58_511p42,raw,gamma|parent=e+|creator=annihil|step=phot,gamma,e+,annihil->phot,1008,1008,8408.204630000027
megalib,w2_510p58_511p42,raw,gamma|parent=gamma|creator=phot|step=phot,gamma,gamma,phot->phot,845,1216,7438.128290000003
megalib,w2_510p58_511p42,raw,e-|parent=gamma|creator=compt|step=eBrem,e-,gamma,compt->eBrem,58,64,5250.466972699999
megalib,w2_510p58_511p42,raw,e-|parent=gamma|creator=compt|step=msc,e-,gamma,compt->msc,46,729,4679.861863311993
