history_id,parent_resampled_history_id,selected_position_row_index,common_event_id,source_event_id,source_name,production_tag,source_volume,resolved_static_material,nuclide,isotope_Z,isotope_A,za,exc_keV,x_cm,y_cm,z_cm,time_s,history_weight,event_weight_Bq,sampling_probability,selection_u64,A,Z,event_id,isomer,original_activity_weight_Bq,resampled_history_id
293,293,4315,4315,10654,phase3_cu64_common_parent_000000293,n,ColdPlate_Still_0p7K,Copper,Cu-64,29,64,29064,0,6.735997,3.124387,8.680322,0.0,1.0,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927,0.00014436280272258657460993552081417969036748348639073181651392981103408429062872184,11489529891394840794,64,29,4315,0,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927,293
294,294,4095,4095,10434,phase3_cu64_common_parent_000000294,n,ColdPlate_Still_0p7K,Copper,Cu-64,29,64,29064,0,7.533253,3.219071,7.968065,0.0,1.0,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927,0.00014436280272258657460993552081417969036748348639073181651392981103408429062872184,10903605039274596875,64,29,4095,0,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927,294
295,295,6656,6656,236524,phase3_cu64_common_parent_000000295,n,DR_MixingChamber_Cu,Copper,Cu-64,29,64,29064,0,1.618002,1.880085,1.113309,0.0,1.0,0.00067878017572817528276285253292929292929292929292929292929292929292929292929292929,0.00014436280272258657460993552081470366118995536229941246611530947382277545401992454,17724442514874411655,64,29,6656,0,0.00067878017572817528276285253292929292929292929292929292929292929292929292929292929,295
296,296,2197,2197,6894,phase3_cu64_common_parent_000000296,n,ColdPlate_4K,Copper,Cu-64,29,64,29064,0,13.58912,7.272793,15.08803,0.0,1.0,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,0.00014436280272258657460993552084301937736201512695736402462533094040277283494798539,5850257972678830288,64,29,2197,0,0.00067878017572817528276285253306243073513114148503878832656076837827853712596970816,296
297,297,6658,6658,236526,phase3_cu64_common_parent_000000297,n,DR_MixingChamber_Cu,Copper,Cu-64,29,64,29064,0,1.618975,0.9182203,0.139943,0.0,1.0,0.00067878017572817528276285253292929292929292929292929292929292929292929292929292929,0.00014436280272258657460993552081470366118995536229941246611530947382277545401992454,17729787428661106818,64,29,6658,0,0.00067878017572817528276285253292929292929292929292929292929292929292929292929292929,297
298,298,3418,3418,9543,phase3_cu64_common_parent_000000298,n,ColdPlate_MXC_50mK_SD_anchor,Copper,Cu-64,29,64,29064,0,0.880125,3.162239,-0.5551055,0.0,1.0,0.00067878017572817528276285253304794520547945205479452054794520547945205479452054795,0.00014436280272258657460993552083993859843797587909316580633518001422470638131610120,9099923110645534928,64,29,3418,0,0.00067878017572817528276285253304794520547945205479452054794520547945205479452054795,298
299,299,5722,5722,234123,phase3_cu64_common_parent_000000299,n,Cu_50mK_StillLike_Can_side_wall_below_side_port,Copper,Cu-64,29,64,29064,0,-7.780353,7.446689,-5.694732,0.0,1.0,0.00067878017572817528276285253303278688524590163934426229508196721311475409836065574,0.00014436280272258657460993552083671473057658129698784139404211907867558047352741505,15237094601238171944,64,29,5722,0,0.00067878017572817528276285253303278688524590163934426229508196721311475409836065574,299
300,300,3003,3003,8901,phase3_cu64_common_parent_000000300,n,ColdPlate_CP_100mK_intercept,Copper,Cu-64,29,64,29064,0,8.889785,-1.829612,-1.503798,0.0,1.0,0.00067878017572817528276285253298192771084337349397590361445783132530120481927710843,0.00014436280272258657460993552082589801373150059067372526015924305261851768876028827,7996950199078927801,64,29,3003,0,0.00067878017572817528276285253298192771084337349397590361445783132530120481927710843,300
301,301,6036,6036,234558,phase3_cu64_common_parent_000000301,n,Cu_SubstrateSupport_SolidDisk_L0_deepest,Copper,Cu-64,29,64,29064,0,-2.035426,0.9452183,-6.647452,0.0,1.0,0.00067878017572817528276285253272727272727272727272727272727272727272727272727272727,0.00014436280272258657460993552077173805374726153778759919880217712515010005594130306,16072443650431249082,64,29,6036,0,0.00067878017572817528276285253272727272727272727272727272727272727272727272727272727,301
302,302,5242,5242,11581,phase3_cu64_common_parent_000000302,n,ColdPlate_Still_0p7K,Copper,Cu-64,29,64,29064,0,14.14555,-0.400905,1.745212,0.0,1.0,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927,0.00014436280272258657460993552081417969036748348639073181651392981103408429062872184,13958274998306732375,64,29,5242,0,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927,302
