common_event_id,source_event_id,production_tag,x_cm,y_cm,z_cm,geometry_local_x_cm,geometry_local_y_cm,geometry_local_z_cm,coordinate_transform_policy,source_volume,expected_material,expected_fluka_region_name,expected_shape_type,expected_depth,expected_contains_static,resolved_static_volume,resolved_static_logical,resolved_static_material,resolved_static_fluka_region_name,resolved_static_depth,containing_volume_count,deepest_volume_count,expected_min_boundary_margin_cm_approx,same_material_as_expected,audit_status,audit_note,original_activity_weight_Bq
5192,11531,n,6.990249,7.670066,8.501163,-1.068377535,7.670066,10.95408248,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_Still_0p7K,Copper,R0000008,PCON,2,True,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,Copper,R0000008,2,1,1,0.2540824754,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927
5193,11532,n,7.705973,1.299753,7.476638,0.1621643337,1.299753,10.73572719,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_Still_0p7K,Copper,R0000008,PCON,2,True,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,Copper,R0000008,2,1,1,0.03572719422,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927
5194,11533,n,10.02765,-6.655462,5.721709,3.04476008,-6.655462,11.13647855,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_Still_0p7K,Copper,R0000008,PCON,2,True,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,Copper,R0000008,2,1,1,0.1635214518,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927
5195,11534,n,7.019231,-4.315619,8.253308,-0.8726242152,-4.315619,10.79931589,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_Still_0p7K,Copper,R0000008,PCON,2,True,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,Copper,R0000008,2,1,1,0.09931589284,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927
5196,11535,n,2.703084,5.163276,12.62464,-7.015599528,5.163276,10.83833758,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_Still_0p7K,Copper,R0000008,PCON,2,True,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,Copper,R0000008,2,1,1,0.08919890121,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927
5197,11536,n,6.563508,7.677317,9.129177,-1.814201948,7.677317,11.09640398,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_Still_0p7K,Copper,R0000008,PCON,2,True,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,Copper,R0000008,2,1,1,0.2035960215,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927
5198,11537,n,8.527859,-4.272632,7.432159,0.7747769001,-4.272632,11.28543696,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_Still_0p7K,Copper,R0000008,PCON,2,True,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,Copper,R0000008,2,1,1,0.01456304434,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927
5199,11538,n,4.590485,-3.965992,10.69583,-4.317130851,-3.965992,10.809057,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_Still_0p7K,Copper,R0000008,PCON,2,True,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,Copper,R0000008,2,1,1,0.1090569959,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927
5200,11539,n,5.010197,-7.002448,10.56454,-3.9275136,-7.002448,11.01300215,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_Still_0p7K,Copper,R0000008,PCON,2,True,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,Copper,R0000008,2,1,1,0.2869978521,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927
5201,11540,n,5.386953,-4.451263,10.30122,-3.47491152,-4.451263,11.09321351,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_Still_0p7K,Copper,R0000008,PCON,2,True,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,Copper,R0000008,2,1,1,0.2067864873,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927
5202,11541,n,7.042014,7.219963,8.091977,-0.7424359573,7.219963,10.70134766,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_Still_0p7K,Copper,R0000008,PCON,2,True,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,Copper,R0000008,2,1,1,0.001347662516,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927
5203,11542,n,5.920493,1.050589,9.918978,-2.827355858,1.050589,11.20019735,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_Still_0p7K,Copper,R0000008,PCON,2,True,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,Copper,R0000008,2,1,1,0.09980264549,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927
5204,11543,n,3.605385,3.592176,11.86653,-5.84151165,3.592176,10.94029601,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_Still_0p7K,Copper,R0000008,PCON,2,True,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,Copper,R0000008,2,1,1,0.2402960144,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927
5205,11544,n,7.22138,8.541022,8.749718,-1.080698164,8.541022,11.2932717,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_Still_0p7K,Copper,R0000008,PCON,2,True,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,Copper,R0000008,2,1,1,0.006728301205,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927
5206,11545,n,6.277635,3.554689,9.538147,-2.305530145,3.554689,11.1834467,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_Still_0p7K,Copper,R0000008,PCON,2,True,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,Copper,R0000008,2,1,1,0.116553298,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927
5207,11546,n,1.671405,1.929179,13.70933,-8.512098399,1.929179,10.87582202,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_Still_0p7K,Copper,R0000008,PCON,2,True,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,Copper,R0000008,2,1,1,0.07202481862,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927
5208,11547,n,5.955383,-0.04118076,9.665104,-2.623168875,-0.04118076,11.04535228,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_Still_0p7K,Copper,R0000008,PCON,2,True,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,Copper,R0000008,2,1,1,0.2546477169,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927
5209,11548,n,10.6981,2.734349,5.207521,3.882425644,2.734349,11.24697247,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_Still_0p7K,Copper,R0000008,PCON,2,True,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,Copper,R0000008,2,1,1,0.05302753192,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927
5210,11549,n,5.039296,0.9592113,10.16409,-3.62377659,0.9592113,10.75041734,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_Still_0p7K,Copper,R0000008,PCON,2,True,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,Copper,R0000008,2,1,1,0.0504173376,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927
5211,11550,n,6.1723,7.007325,9.380524,-2.268556946,7.007325,10.99750732,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_Still_0p7K,Copper,R0000008,PCON,2,True,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,Copper,R0000008,2,1,1,0.297507317,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927
5212,11551,n,7.523359,3.049146,8.413782,-0.6296241414,3.049146,11.26926047,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_Still_0p7K,Copper,R0000008,PCON,2,True,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,Copper,R0000008,2,1,1,0.03073952617,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927
5213,11552,n,8.544445,4.933158,7.070515,1.042225898,4.933158,11.0414441,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_Still_0p7K,Copper,R0000008,PCON,2,True,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,Copper,R0000008,2,1,1,0.258555896,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927
5214,11553,n,6.313355,-3.214433,9.487541,-2.244488445,-3.214433,11.17292071,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_Still_0p7K,Copper,R0000008,PCON,2,True,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,Copper,R0000008,2,1,1,0.1270792896,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927
5215,11554,n,4.838779,-7.553804,10.90805,-4.291622681,-7.553804,11.13468957,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_Still_0p7K,Copper,R0000008,PCON,2,True,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,Copper,R0000008,2,1,1,0.1121935964,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927
5216,11555,n,3.157241,4.421501,12.64792,-6.710923479,4.421501,11.17593652,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_Still_0p7K,Copper,R0000008,PCON,2,True,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,Copper,R0000008,2,1,1,0.1240634792,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927
5217,11556,n,10.14477,3.48718,5.441039,3.326040087,3.48718,11.02083123,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_Still_0p7K,Copper,R0000008,PCON,2,True,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,Copper,R0000008,2,1,1,0.2791687658,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927
5218,11557,n,11.99603,-0.250941,3.529826,5.986510259,-0.250941,10.97843806,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_Still_0p7K,Copper,R0000008,PCON,2,True,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,Copper,R0000008,2,1,1,0.2784380613,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927
5219,11558,n,9.025158,-1.043683,6.916551,1.491010309,-1.043683,11.27249054,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_Still_0p7K,Copper,R0000008,PCON,2,True,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,Copper,R0000008,2,1,1,0.0275094624,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927
5220,11559,n,6.299801,2.391281,9.60554,-2.337510464,2.391281,11.24677448,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_Still_0p7K,Copper,R0000008,PCON,2,True,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,Copper,R0000008,2,1,1,0.05322552182,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927
5221,11560,n,13.74123,-1.663875,1.591079,8.591454165,-1.663875,10.84157967,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_Still_0p7K,Copper,R0000008,PCON,2,True,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,Copper,R0000008,2,1,1,0.04891065769,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927
5222,11561,n,6.204556,-2.106067,9.149177,-2.082161477,-2.106067,10.85672872,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_Still_0p7K,Copper,R0000008,PCON,2,True,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,Copper,R0000008,2,1,1,0.1567287208,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927
5223,11562,n,11.05433,0.2702636,4.672645,4.512532739,0.2702636,11.12065067,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_Still_0p7K,Copper,R0000008,PCON,2,True,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,Copper,R0000008,2,1,1,0.1793493299,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927
5224,11563,n,2.356605,1.529326,13.54829,-7.913716356,1.529326,11.24645911,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_Still_0p7K,Copper,R0000008,PCON,2,True,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,Copper,R0000008,2,1,1,0.05354089144,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927
5225,11564,n,6.427448,0.7537823,9.444139,-2.133122663,0.7537823,11.2229068,inverse InstrumentFrame.Rotation 0 45 0 before static containment,ColdPlate_Still_0p7K,Copper,R0000008,PCON,2,True,ColdPlate_Still_0p7K,ColdPlate_Still_0p7K,Copper,R0000008,2,1,1,0.07709320411,True,PASS_STATIC_CONTAINMENT,declared source_volume is the deepest translated static geometry object containing the coordinate,0.00067878017572817528276285253292682926829268292682926829268292682926829268292682927
