resolved_static_material,selected_histories,selection_fraction,source_rows_represented_activity_Bq
Copper,937427,0.937427,4.4079931270587108550100473276045999999999999999999999999999999999999999999999541
CuNi,62573,0.062573,0.29391181609029989743631514677499999999999999999999999999999999999999999999999997
