resolved_static_material,rows,activity_weight_Bq,activity_fraction
Copper,6494,4.4079931270587108550100473276045999999999999999999999999999999999999999999999526,0.93749090642112001319389791948369939349258776105825776093556586215641067691740606
CuNi,433,0.29391181609029989743631514677500000000000000000000000000000000000000000000000003,0.062509093578879986806102080516300606507412238941742239064434137843589323082593945
